Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fees,HPSEBL||CE(OP) South||SE(OP) Solan,09-2023-24,2023_HPSEB_72710_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,180",Nil,Nil,No,Superintending Engineer,"SE (OP) Circle, HPSEBL, Solan, Power House Road Saproon Solan","23,337",No,percentage,1.0%,Nil,Nil,02-May-2023 10:00 AM,19-May-2023 11:30 AM,02-May-2023 10:10 AM,18-May-2023 04:00 PM,02-May-2023 10:15 AM ,03-May-2023 12:00 PM ,03-May-2023 12:05 PM,18-May-2023 04:00 PM,26-May-2023 04:25 PM,09-2023-24,E Tendering on partial turnkey basis for providing SOP to proposed Himuda Colony at Dharampur in Electrical Section Dharampur 1 under ESD HPSEBL Dharampur,A-Class Electrical License with Chief Electrical Inspector Shimla ,NA ,"23,33,725",Electrical Works,HT DTR ,Tender,180.0,90.0,Solan,173211.0,NA ,NA ,NA ,"SE (OP) Circle, HPSEBL, Solan",No ,No,1.0,Date extended due to some administrative reason,Date,,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,05-Jun-2023 12:03 PM,finsummary_109342.pdf (379.52 KB),1.0,347092.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,INR,"2,187,867",HPSEBL||CE(OP) South||SE(OP) Solan,2023_HPSEB_72710_1,09-2023-24,09-2023-24,05-Jun-2023,"INR 2,187,867",90.0,Mohan Singh Guleria,05-Jun-2023 12:07 PM,Award0923.pdf (5961.00 KB),Detail award upload,Finance,Committee member detail uploaded,Mohan Singh Guleria,26-May-2023 04:30 PM,finance_109342.pdf,BOQ Comparative Chart,Technical,Committee Member detail uploaded,Mohan Singh Guleria,19-May-2023 01:31 PM,technical_109342.pdf,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,26-May-2023 04:21 PM,26-May-2023 04:25 PM,techsummary_109342.pdf (379.52 KB),1.0,347861.0,Aman Electrical,18-May-2023 12:28 PM,Rejected-Finance,Rejected,05-Jun-2023
,,.pdf,A-Class Electrical License with Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,347090.0,VINAY ENTERPRISES,15-May-2023 11:13 AM,Rejected-Finance,Rejected,05-Jun-2023
,,.pdf,BID Capacity/Turnover Certificate with CA Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,347092.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,15-May-2023 11:34 AM,Accepted-AOC,Awarded,05-Jun-2023
,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Work Done Certificate/completion certificate as per SBD Volume-I, Section-III, Clause No. 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,EPFO/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Joint Venture if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
