Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
Executive Engineer,HPSIDC Shimla,"87,900",No,fixed,,Nil,Nil,Construction of Veterinary Hospital at Joghon Teh. Nalagarh Distt. Solan (HP).,Construction of Veterinary Hospital,Please refer Tender documents. ,NA ,"43,94,316",Civil Works - Buildings,NA ,Tender,120.0,270.0,Joghon (Nalagarh),174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"5,200",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,HP SIDC Limited,Job No. 3,2023_SIDC_72106_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,12-Apr-2023 11:00 AM,20-Apr-2023 11:00 AM,12-Apr-2023 11:00 AM,19-Apr-2023 05:00 PM,NA ,NA ,12-Apr-2023 11:00 AM,19-Apr-2023 05:00 PM,31-May-2023 03:00 PM,Finance,Financial bid,Sushant Singh Negi,03-Jun-2023 10:49 AM,finance_108507.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,31-May-2023 11:34 AM,31-May-2023 03:00 PM,techsummary_108507.pdf (427.33 KB),Technical,Tender Summary,Sushant Singh Negi,31-May-2023 11:30 AM,technical_108507.pdf,1.0,342846.0,Amardeep Singh,19-Apr-2023 11:01 AM,Accepted-AOC,AOC,12-Jul-2023,21-Jun-2023,"INR 5,690,930",270.0,Sushant Singh Negi,12-Jul-2023 11:12 AM,joghonaward.pdf (1885.00 KB),Award letter,1.0,342846.0,Amardeep Singh,INR,"5,690,930",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,03-Jun-2023 10:53 AM,finsummary_108507.pdf (27.33 KB),HP SIDC Limited,2023_SIDC_72106_1,Job No. 3,Construction of Veterinary Hospital at Joghon Teh. Nalagarh Distt. Solan (HP).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342717.0,BALRAJ SINGH GOVT CONTRACTOR,19-Apr-2023 11:44 AM,Rejected-Finance,Third lowest bidder,03-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342864.0,Deep Chand,19-Apr-2023 04:55 PM,Rejected-Technical,The successfully completed similar type of work done of minimum amount not less than 40 percent of estimated cost in last five years has not submitted as per condition of tender.,31-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,342858.0,shubham govt.contractor,19-Apr-2023 11:13 AM,Rejected-Finance,Second lowest bidder,03-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
