S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,173079.0,Maheshwari Pharmaceuticals India Limited,INR,596200.0,AMD,Internal,"DME, DHS, ED, SFC, GM, Sr- Manager, Manager",Robin Kumar Singh,14-Jun-2023 06:00 PM,finsummary_45426.pdf (2318.01 KB),Health and Family Welfare Department||Assam Medical Services Corporation Limited,2022_HFWD_28460_1,148069-AYUSH-DRUGS,Ayurvedic Drugs,1,174613,Amar Pharmaceuticals & Labs (I) Pvt Ltd,25-Jan-2023 12:15 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,AMD,Internal,"DHS, DME, ED, Dr. Ins., SFC, GM, Sr. M",Premananda Hazarika,10-Mar-2023 05:43 PM,13-Mar-2023 04:00 PM,techsummary_45426.pdf (10951.32 KB),Finance,Financial Bid Opened,Anirban Talukdar,14-Mar-2023 01:32 PM,,BOQ Comparative Chart,Technical,preliminary mINUTES,Anirban Talukdar,10-Feb-2023 07:39 PM,technical_45426.pdf,14-Jun-2023,INR 2384112.0,60.0,Robin Kumar Singh,14-Jun-2023 06:03 PM,LoI.pdf (2009.00 KB),LOI,AOC,"MD, AMSCL","O/o MD, AMSCL",1.0,SBI Bank,27-Dec-2022 11:00 AM,25-Jan-2023 04:00 PM,27-Dec-2022 02:00 PM,25-Jan-2023 02:00 PM,30-Dec-2022 02:00 PM ,03-Jan-2023 02:00 PM ,12-Jan-2023 02:00 PM,25-Jan-2023 02:00 PM,13-Mar-2023 04:00 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,148069-AYUSH-DRUGS,2022_HFWD_28460_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,Corrigendum No 1,Date,,"2,000",Nil,Nil,No,Ayurvedic Drugs,Supply of Ayurvedic Drugs,Please refer Tender documents. ,NA ,,Medicines,NA ,Tender,180.0,60.0,Guwahati,781026.0,"O/o MD, AMSCL ","O/o MD, AMSCL ",03-Jan-2023 02:00 PM ,"O/o MD, AMSCL",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Court Fee/IPO, Copies of Tender fee, EMD, Technical bids","5,00,000",Yes,fixed,,Nil,Nil,AOC
2.0,173102.0,INDIAN MEDICINES PHARMACEUTICAL CORPORATION LIMITED,INR,55432.0,,,,,,,,,,,2,174260,Baijnath Pharmaceuticals,21-Jan-2023 03:38 PM,Rejected-Finance,No L1 rate,14-Jun-2023 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum No 1,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
3.0,173239.0,Desh Rakshak Aushdhalaya Ltd.,INR,739786.0,,,,,,,,,,,3,174753,BASIC AYURVEDA,24-Jan-2023 01:16 PM,Not Admitted-Fee/PreQual/Technical,Others-nOT SUBMITTED ipo AND cOURT fEE sTAMP,10-Feb-2023 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,174285.0,KARNANI PHARMACEUTICALS PRIVATE LIMITED,INR,29862.0,,,,,,,,,,,4,173239,Desh Rakshak Aushdhalaya Ltd.,21-Jan-2023 11:21 AM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,174405.0,Multani Pharmaceuticals Ltd,INR,457732.0,,,,,,,,,,,5,174727,DINDAYAL INDUSTRIES LIMITED,24-Jan-2023 12:26 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,174413.0,Unijules Life Sciences Ltd,INR,151502.0,,,,,,,,,,,6,173102,INDIAN MEDICINES PHARMACEUTICAL CORPORATION LIMITED,24-Jan-2023 08:23 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,174535.0,Rhonpal Biotech Pvt. Ltd.,INR,33600.0,,,,,,,,,,,7,174473,JAMNA HERBAL RESEARCH LIMITED,23-Jan-2023 05:06 PM,Rejected-Finance,No L1 rate,14-Jun-2023 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,174613.0,Amar Pharmaceuticals & Labs (I) Pvt Ltd,INR,296302.0,,,,,,,,,,,8,174285,KARNANI PHARMACEUTICALS PRIVATE LIMITED,20-Jan-2023 04:19 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,174727.0,DINDAYAL INDUSTRIES LIMITED,INR,23625.0,,,,,,,,,,,9,173079,Maheshwari Pharmaceuticals India Limited,24-Jan-2023 04:00 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,173112,MP State Minor Forest Produce T and D Cooperative Federation Limited,20-Jan-2023 03:03 PM,Rejected-Technical,Not Admitted,10-Mar-2023 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,174405,Multani Pharmaceuticals Ltd,24-Jan-2023 02:57 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,174535,Rhonpal Biotech Pvt. Ltd.,24-Jan-2023 02:17 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,174775,SHRI SHARMA AYURVED MANDIR,22-Jan-2023 04:46 PM,Rejected-Technical,Not Admitted,10-Mar-2023 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,174413,Unijules Life Sciences Ltd,20-Jan-2023 04:07 PM,Accepted-AOC,L1 rate,14-Jun-2023 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
