Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form and Earnest Money as mentioned in SBD,"Periodic Maintenance of Bhullana to Simble road (PMGSY) DRRP No. 0411VR00611301,302,303",P/L WBM-GII 63mm to 45mm Built Up spary Grount Single Layer Tack coat and 30mm thick Bituminous Concrete at Km 0/0 to 3/0 (Incentive 2023-24,Please refer Tender documents. ,NA ,"36,51,590",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,Tender postponed,Date,,1.0,ICICI BANK,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,"74,000",No,fixed,,Nil,Nil,PWD,PWD-BD-TA-2022-23-1208-58,2023_PWD_73123_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,11-May-2023 01:00 PM,24-May-2023 11:30 AM,11-May-2023 01:00 PM,24-May-2023 11:00 AM,NA ,NA ,11-May-2023 05:00 PM,24-May-2023 11:00 AM,01-Jun-2023 11:00 AM,Finance,Financial Bid of 3 bidders open sucessfully,Sanjiv Kumar,14-Jun-2023 12:45 PM,finance_109969.pdf,BOQ Comparative Chart,1.0,347540.0,VISHAL RAJPUT,INR,"3,815,911",1.0,348263.0,ANURAG SHARMA,23-May-2023 06:39 PM,Rejected-Finance,Higher Side,14-Jun-2023,Technical,Three bidders participated in this work and found responsive.,Sanjiv Kumar,29-May-2023 04:15 PM,technical_109969.pdf,PWD,2023_PWD_73123_1,PWD-BD-TA-2022-23-1208-58,"Periodic Maintenance of Bhullana to Simble road (PMGSY) DRRP No. 0411VR00611301,302,303",Xen HPPWD Baijnath,Internal,"DAO, HDM, SupdtGII AE Baijnath",Sanjiv Kumar,29-May-2023 04:17 PM,01-Jun-2023 11:00 AM,techsummary_109969.pdf (563.93 KB),Xen HPPWD Baijnath,Internal,"DAOG-I HDM, SupdtG-II AE Baijnath",Sanjiv Kumar,14-Jun-2023 12:47 PM,finsummary_109969.pdf (103.83 KB),14-Jun-2023,"INR 3,815,911",60.0,Sanjiv Kumar,14-Jun-2023 12:52 PM,Awardbhullana_AMP.PDF (124.00 KB)
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,2.0,GST Corrigendum,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,348163.0,G.P.ACHARYA,24-May-2023 10:15 AM,Rejected-Finance,Higher Side,14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,347540.0,VISHAL RAJPUT,24-May-2023 10:32 AM,Accepted-AOC,Lower Side,14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Machinery as mentioned in SBD along with proof of ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Minimum similar nature of workdone 40percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Technical Staff and Lab equipment detail a s per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
