Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description
Technical,Attached,Vivek Sharma,11-Oct-2021 08:02 PM,,1.0,238624.0,ASHWANI KUMAR GOVT. CONTRACTOR,28-Sep-2021 03:30 PM,Rejected-Finance,l3,05-Jan-2022,Finance,Attached,Vivek Sharma,05-Jan-2022 12:55 PM,finance_78612.pdf,BOQ Comparative Chart,1.0,237646.0,LAL DIN GOVT CONTRACTOR,INR,"1,311,614.2",EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,05-Jan-2022 12:59 PM,finsummary_78612.pdf (751.98 KB),08-Jun-2023,"INR 1,311,614",30.0,Sanjay Katoch,08-Jun-2023 04:14 PM,Award3.pdf (772.00 KB),Award,PWD,2021_PWD_52571_1,C/O link road from Civil Supply Depot,Construction of link road from Civil Supply Depot to Khaggal Khurd via Muslim Harizan Basti km 0/0 to 0/540,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,11-Oct-2021 08:05 PM,12-Oct-2021 11:00 AM,techsummary_78612.pdf (1039.16 KB),500.0,Nil,Nil,No,Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,C/O link road from Civil Supply Depot,2021_PWD_52571_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"32,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of link road from Civil Supply Depot to Khaggal Khurd via Muslim Harizan Basti km 0/0 to 0/540,SH Removal of formation deficiency in km 0/0 to 0/540 including retaining wall at various RD and Cross Drainage work at RD 0/440 with wing wall,Please refer Tender documents. ,NA ,"16,36,071",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpr,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,22-Sep-2021 09:00 AM,29-Sep-2021 11:30 AM,22-Sep-2021 09:00 AM,28-Sep-2021 04:30 PM,NA ,NA ,22-Sep-2021 09:00 AM,28-Sep-2021 04:30 PM,12-Oct-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration
,,,,,2.0,237646.0,LAL DIN GOVT CONTRACTOR,28-Sep-2021 02:51 PM,Accepted-AOC,l1,08-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16
,,,,,3.0,237840.0,sonam soni,28-Sep-2021 08:58 AM,Rejected-Finance,l2,05-Jan-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address
