Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name
Executive Engineer,Internal,AE Supdt HDM DAO,Suresh Kumar Walia,27-May-2023 12:28 PM,finsummary_109835.pdf (192.18 KB),08-Jun-2023,"INR 2,557,630",60.0,Suresh Kumar Walia,12-Jun-2023 02:16 PM,Award.pdf (228.00 KB),Award,PWD,2023_PWD_73028_2,Nagrota 08/05,"Restoration of rain damages on various roads under HPPWD Sub-Division Nagrota Bagwan in District Kangra, (H.P.). Under Telecom Deposit(SH-Providing and laying Patch work.)",Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,25-May-2023 12:58 PM,26-May-2023 10:00 AM,techsummary_109835.pdf (900.94 KB),1.0,347592.0,Ujjawal Singh,INR,"2,212,350",Finance,sum,Suresh Kumar Walia,27-May-2023 12:27 PM,finance_109835.pdf,BOQ Comparative Chart,Technical,SUM,Suresh Kumar Walia,25-May-2023 12:57 PM,technical_109835.pdf,1.0,347806.0,atul thakur,18-May-2023 11:04 AM,Rejected-AOC,Fin reject,12-Jun-2023,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"Restoration of rain damages on various roads under HPPWD Sub-Division Nagrota Bagwan in District Kangra, (H.P.). Under Telecom Deposit(SH-Providing and laying Patch work.)","Restoration of rain damages on various roads under HPPWD Sub-Division Nagrota Bagwan in District Kangra, (H.P.). Under Telecom Deposit(SH-Providing and laying Patch work.)",Please refer Tender documents. ,NA ,"25,57,630",Civil Works - Roads,NA ,Tender,120.0,60.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,09-May-2023 05:00 PM,19-May-2023 11:30 AM,09-May-2023 05:00 PM,18-May-2023 06:00 PM,NA ,NA ,09-May-2023 05:00 PM,18-May-2023 06:00 PM,26-May-2023 10:00 AM,"1,500",Nil,Nil,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,PWD,Nagrota 08/05,2023_PWD_73028_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"51,200",No,fixed,,Nil,Nil,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,347912.0,Rohit,18-May-2023 03:46 PM,Rejected-AOC,Fin reject,12-Jun-2023,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,347592.0,Ujjawal Singh,18-May-2023 02:29 PM,Accepted-AOC,Award,12-Jun-2023,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,347363.0,VP SHARMA,16-May-2023 12:01 PM,Rejected-AOC,Fin reject,12-Jun-2023,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
