Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Annual maintenance plan for the year 202324 on Kakkar to Chhamb road,Repair of pot holes PL 30mm thick BC and 025mm thick road marking thermoplastic strip,Please refer Tender documents. ,NA ,"54,13,373",Civil Works,NA ,Tender,75.0,60.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,1.0,ICICI BANK,1.0,CORRIGENDUMDATE,Date,,PWD,PWTDD-GA-NIT-22-23-17075-83 DT.16.02.2023,2023_PWD_69276_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,20-Feb-2023 05:00 PM,01-Mar-2023 11:00 AM,20-Feb-2023 06:00 PM,28-Feb-2023 05:00 PM,NA ,NA ,21-Feb-2023 09:00 AM,28-Feb-2023 05:00 PM,09-Mar-2023 11:30 AM,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi","2,000",Nil,Nil,No,"86,600",No,fixed,,Nil,Nil,EXECUTIVEENGINEER,Internal,GA SUPDT DAO HDM AE,Krishan Bhardwaj,07-Mar-2023 07:36 PM,09-Mar-2023 11:30 AM,techsummary_104550.pdf (1917.77 KB),PWD,2023_PWD_69276_1,PWTDD-GA-NIT-22-23-17075-83 DT.16.02.2023,Annual maintenance plan for the year 202324 on Kakkar to Chhamb road,06-Jun-2023,"INR 5,413,373",60.0,Arvind Lakhanpal,06-Jun-2023 04:21 PM,69276-1.pdf (408.00 KB),Annual maintenance plan for the year 202324 on Kakkar to Chhamb road,EXECUTIVEENGINEER,Internal,AE DAO SUPDT HDM GA,Krishan Bhardwaj,09-Apr-2023 01:31 PM,finsummary_104550.pdf (573.09 KB),1.0,329150.0,RAHUL THAKUR GOVT CONTRACTOR,INR,"4,723,168",Finance,SUMMARYATTACHED,Krishan Bhardwaj,09-Apr-2023 01:28 PM,finance_104550.pdf,BOQ Comparative Chart,1.0,329013.0,MOHINDER PAL GOVT. CONTRACTOR,25-Feb-2023 12:09 PM,Rejected-Finance,L2,09-Apr-2023,Technical,SUMMARYATTACHED,Krishan Bhardwaj,07-Mar-2023 07:06 PM,technical_104550.pdf
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,329178.0,MSC Roads and Bridges Private Limited,25-Feb-2023 06:23 PM,Rejected-Finance,L4,09-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328621.0,Piar Chand Chauhan,25-Feb-2023 06:40 PM,Rejected-Finance,L3,09-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,329150.0,RAHUL THAKUR GOVT CONTRACTOR,25-Feb-2023 05:18 PM,Accepted-AOC,work completed,06-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and HMP in the radius of 30km execution Having NOC from H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
