S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,completion time corrigendum,Date,,"15,52,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Form of Bid of Part-I as per Section-6,10-Apr-2023 05:00 PM,26-Apr-2023 12:00 PM,10-Apr-2023 05:00 PM,25-Apr-2023 05:00 PM,NA ,NA ,10-Apr-2023 05:00 PM,25-Apr-2023 05:00 PM,20-May-2023 03:00 PM,PWD,Banoli to Bhatti Dhuglu Bassa Kotha Harnera,2023_PWD_72063_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,Superintending Engineer,Superintending Engineer HPPWD 9th Circle Nurpur,Banoli to Bhatti Duglu Bassa Kotha Harnera road km. 0/0 to9/765 under RIDF-XXVIII,"Formation Cutting, Passing Places, Retaining Walls, Cross Drainage Work, GSB, WBM II and III, Side Drains, Road Side Furniture Parapets and Tarring including Routine Maintenance for five years after completion of construction work",Please refer Tender documents. ,NA ,"7,75,83,747",Civil Works - Roads,NA ,Tender,75.0,90.0,Jawali,176023.0,NA ,NA ,NA ,SE 9th Circle Nurpur,No ,No,1.0,ICICI BANK,1.0,343964.0,ARUN KUMAR,25-Apr-2023 04:37 PM,Rejected-Technical,Rejected,18-May-2023,Technical,Summary,Ravi Bhushan,18-May-2023 05:13 PM,technical_108448.pdf,1.0,343915.0,Nishchal Mahajan,INR,"51,563,060",Finance,Summary,Ravi Bhushan,09-Jun-2023 12:24 PM,finance_108448.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Executive Engineer Design, Executive Engineer Jawali, Accountant Jawali,",Ravi Bhushan,18-May-2023 05:25 PM,20-May-2023 03:00 PM,techsummary_108448.pdf (8831.36 KB),PWD,2023_PWD_72063_1,Banoli to Bhatti Dhuglu Bassa Kotha Harnera,Banoli to Bhatti Duglu Bassa Kotha Harnera road km. 0/0 to9/765 under RIDF-XXVIII,09-Jun-2023,"INR 51,563,060",560.0,Ravi Bhushan,09-Jun-2023 12:35 PM,Award.pdf (1622.00 KB),AOC,Superintending Engineer,Internal,"DAO, EE Jawali, EE Design",Ravi Bhushan,09-Jun-2023 12:32 PM,finsummary_108448.pdf (8831.36 KB)
,,,,,,,,,,,,.pdf,Receipt of online payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,343774.0,Dinesh Construction Works,24-Apr-2023 10:04 AM,Rejected-Finance,Rejected,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,Legal Status of Bidder as per Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343785.0,M/s R.K Mahajan Govt Contractor,25-Apr-2023 02:04 PM,Rejected-Finance,Rejected,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Work Performed as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,343810.0,M V D Cementation and Construction Pvt. Ltd.,24-Apr-2023 12:08 PM,Rejected-Finance,Rejected,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Availability of Equipment, Staff as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,343915.0,Nishchal Mahajan,24-Apr-2023 08:40 PM,Accepted-AOC,Accepted,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Information as per Section 3 (1.6), (1.8), (1/9), 1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,343990.0,rajat thakur govt contractor,25-Apr-2023 01:53 PM,Rejected-Finance,Rejected,09-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Total Annual Turnover as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Information as per Section 2(4.2 (g), (h), (k)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"PAN, GST, EPF, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 CI 4,4B(a), (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
