Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_66562_1,SSD 512/2022,Procurement of 12 kV Indoor Switchgear Panels,1.0,310692.0,PASCAL SWITCHCARE INDIA PRIVATE LIMITED,INR,"12,976,811",SE (Design),Internal,"SE(Design), Sr. Xen, AE",Puneet Chaudhary,19-Jun-2023 12:31 PM,finsummary_100099.pdf (96.54 KB),19-Jun-2023,"INR 12,976,811",180.0,Puneet Chaudhary,19-Jun-2023 12:35 PM,PO512.pdf (351.00 KB),Finance,Bids of responsive bidders have been opened,Puneet Chaudhary,01-Feb-2023 03:17 PM,,BOQ Comparative Chart,Technical,Techno commercial Bids part-1 have been opened,Puneet Chaudhary,30-Nov-2022 11:10 AM,technical_100099.pdf,SE(Design),Internal,"SE (Design), XEN, AE",Narender Pal Abrol,01-Feb-2023 03:03 PM,01-Feb-2023 03:10 PM,techsummary_100099.pdf (96.36 KB),1.0,310693.0,CORONET ENGINEERS PVT. LTD.,26-Nov-2022 04:24 PM,Rejected-Technical,Technocommercially NON-responsive,01-Feb-2023,"2,00,000",No,percentage,1.0%,Nil,Nil,"11,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Form and Tender Performa,Procurement of 12 kV Indoor Switchgear Panels,"DESIGN, MANUFACTURE, TESTING AT MANUFACTURERs WORKS AND DELIVERY AT F.O.R. DESTINATION STATIONS OF 12 kV INDOOR SWITCHGEAR PANELS FOR VARIOUS SUB-STATIONS IN HIMACHAL PRADESH.",As per Clause No. 7 of NIT ,NA ,"2,00,00,000",Electrical Work/ Equipment,12 kV Indoor Switchgear Panels ,Tender,240.0,180.0,Various sub-stations of HPSEBL,177001.0,Hamirpur ,"O/o Superintending Engineer (Design) Electrical System, HPSEBL, Hamirpur ",17-Oct-2022 11:00 AM ,Hamirpur,No ,No,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD 512/2022,2022_HPSEB_66562_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Online,No,No,No,Er. K. K. Bhardwaj,"O/o Superintending Engineer (Design) Electrical System, HPSEBL, Hamirpur",1.0,Corrigendum 3,Date,,14-Oct-2022 05:20 PM,29-Nov-2022 03:00 PM,14-Oct-2022 05:25 PM,28-Nov-2022 01:00 PM,NA ,NA ,27-Oct-2022 09:00 AM,28-Nov-2022 01:00 PM,01-Feb-2023 03:10 PM,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,310069.0,M/s Megawin Swicthgear P Limited,04-Nov-2022 12:06 PM,Rejected-AOC,L2,19-Jun-2023,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Pre Bid Clarifications 4,Technical Bid,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,310692.0,PASCAL SWITCHCARE INDIA PRIVATE LIMITED,28-Nov-2022 12:43 PM,Accepted-AOC,L1 Bidder,19-Jun-2023,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvency and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,310507.0,Stelmec limited,19-Nov-2022 07:08 PM,Rejected-AOC,L4,19-Jun-2023,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,309980.0,Yamuna Power and Infrastructure Limited,03-Nov-2022 04:02 PM,Rejected-AOC,L3,19-Jun-2023,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney to sign tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTPs and Performance Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
