Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
19-Aug-2021 05:00 PM,26-Aug-2021 11:30 AM,19-Aug-2021 05:00 PM,25-Aug-2021 05:00 PM,NA ,NA ,19-Aug-2021 05:00 PM,25-Aug-2021 05:00 PM,01-Sep-2021 11:30 AM,PWD,NO.PWC-WA-II 6024-123 dated 11.8.21,2021_PWD_51435_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from in shape of Demand draft,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,350.0,Nil,Nil,No,"6,150",No,fixed,,Nil,Nil,"A/R and maintenance of various roads under Chamba Sub Division No. II, Providing patch work","A/R and maintenance of various roads under Chamba Sub Division No. II, Providing patch work",Please refer Tender documents. ,NA ,"3,07,260",Civil Works,NA ,Tender,75.0,30.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,2021_PWD_51435_4,NO.PWC-WA-II 6024-123 dated 11.8.21,"A/R and maintenance of various roads under Chamba Sub Division No. II, Providing patch work",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Aug-2021 07:43 PM,01-Sep-2021 11:30 AM,techsummary_76892.pdf (224.94 KB),EE,Internal,Senior Assistant Superintendent and Superintendent,Jeet Singh Thakur,07-Dec-2021 04:04 PM,finsummary_76892.pdf (362.74 KB),01-Jun-2023,"INR 307,260",30.0,Rajeev Kumar,01-Jun-2023 06:31 PM,10659.pdf (450.00 KB),"A/R and maintenance of various roads under Chamba Sub Division No. II, Providing patch work",Finance,BOS,Jeet Singh Thakur,07-Dec-2021 03:58 PM,finance_76892.pdf,BOQ Comparative Chart,1.0,231761.0,Manesh Mehta,INR,"532,800",1.0,231954.0,Dildar Ali,24-Aug-2021 10:25 PM,Rejected-Finance,2nd lowest,07-Dec-2021,Technical,BOS,Jeet Singh Thakur,28-Aug-2021 07:41 PM,technical_76892.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231761.0,Manesh Mehta,25-Aug-2021 11:34 AM,Accepted-AOC,Work completed,01-Jun-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
