Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
V. K. Aggarwal,Internal,Suptd DM DAO,Vijay Kumar Aggarwal,14-Jun-2023 01:01 PM,finsummary_111483.pdf (586.81 KB),20-Jun-2023,"INR 1,635,287.3",60.0,Vijay Kumar Aggarwal,25-Oct-2023 02:51 PM,AOC_74313_1.pdf (363.00 KB),Awarded to Sh. Vishal Kumar Gupta,PWD,2023_PWD_74313_1,NAHAN 1056-85 and 1115-44,"C/o Dr. Y. S. Parmar Govt. PG College Nahan, Sirmaur (HP)",V. K. Aggarwal,Internal,Superintendent (Gr-II) Draughtsman (DB) DAO,Vijay Kumar Aggarwal,14-Jun-2023 10:47 AM,14-Jun-2023 10:55 AM,techsummary_111483.pdf (1137.51 KB),1.0,353449.0,Vishal Kumar Gupta contractor,INR,"1,242,818.35",Finance,Financial Bids were opened on 14.06.2023,Vijay Kumar Aggarwal,14-Jun-2023 12:32 PM,,BOQ Comparative Chart,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,14-Jun-2023 10:41 AM,technical_111483.pdf,1.0,352635.0,Rakesh Chaudhary,11-Jun-2023 10:29 PM,Rejected-Finance,L3,14-Jun-2023,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,01-Jun-2023 05:00 PM,12-Jun-2023 11:00 AM,01-Jun-2023 05:00 PM,12-Jun-2023 10:00 AM,NA ,NA ,01-Jun-2023 05:00 PM,12-Jun-2023 10:00 AM,14-Jun-2023 10:55 AM,"32,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,"C/o Dr. Y. S. Parmar Govt. PG College Nahan, Sirmaur (HP)","C/o Bathrooms, Toilets and work of Rain Water Harvesting System in College Campus",As per Bidding Documents ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,60.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,500.0,Nil,Nil,No,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,PWD,NAHAN 1056-85 and 1115-44,2023_PWD_74313_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,352297.0,Saddam Engineering,08-Jun-2023 12:04 PM,Rejected-Finance,L2,14-Jun-2023,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,353449.0,Vishal Kumar Gupta contractor,11-Jun-2023 07:56 PM,Accepted-AOC,L1,25-Oct-2023,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List a/w Documentary Proof or Affidavit of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not having more than 2 Works-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
