Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
19-May-2021 06:00 PM,02-Jun-2021 11:30 AM,19-May-2021 06:00 PM,01-Jun-2021 06:00 PM,NA ,NA ,19-May-2021 06:00 PM,01-Jun-2021 06:00 PM,30-Jun-2021 11:00 AM,SE,9th Circle HPPWD Nurpur,Construction of Link Road Samlehtar to Koke via Kai in Km 0/0 to 3/070,"Formation cutting , Passing place , R/walls, Cross Drainage Works, Parapets, Road Side drain,GSB, WBM-II, WBM-III and Metalling Tarring). (Under NABARD RIDF-XXVI).",Please refer to tender documents ,NA ,,Civil Works,NA ,Tender,75.0,365.0,Dehra,177101.0,NA ,NA ,NA ,SE 9th Circle HPPWD Nurpur,No ,No,1.0,ICICI BANK,"2,77,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,1.0,Corrigendum,Date,,PWD,SE Nurpur letter No. 258-62 dated 23.04.2021,2021_PWD_47621_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form through e-challan,1.0,214235.0,Ashok Kumar,01-Jun-2021 05:44 PM,Rejected-Finance,Highest Bid amount,15-Jul-2021,Technical,03 technical bids opened on 02.06.2021,Dinesh Kumar Dhiman,24-Jun-2021 03:25 PM,technical_71447.pdf,Finance,Financial Bid opening,Dinesh Kumar Dhiman,15-Jul-2021 05:58 PM,finance_71447.pdf,BOQ Comparative Chart,1.0,214258.0,Rajneesh Kumar,INR,"17,332,848",PWD,2021_PWD_47621_2,SE Nurpur letter No. 258-62 dated 23.04.2021,Construction of Link Road Samlehtar to Koke via Kai in Km 0/0 to 3/070,SE Nurpur,Internal,EE Dehra DAO Dehra EE Design Nurpur,Dinesh Kumar Dhiman,24-Jun-2021 03:30 PM,30-Jun-2021 11:00 AM,techsummary_71447.pdf (6834.89 KB),SE Nurpur,Internal,EE Dehra EE Design Nurpur DAO Dehra,Dinesh Kumar Dhiman,15-Jul-2021 06:01 PM,finsummary_71447.pdf (188.25 KB),19-Jun-2023,"INR 13,826,574",365.0,Gurvachan Singh,19-Jun-2023 11:19 AM,Award47621_2.pdf (592.00 KB),Work award issued
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money through e-challan,2.0,214258.0,Rajneesh Kumar,01-Jun-2021 02:52 PM,Accepted-AOC,L1,19-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,3.0,214321.0,Rohit,01-Jun-2021 01:41 PM,Rejected-Finance,Highest Bid amount,15-Jul-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
