Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,Job 4 Construction of and M.T of link road Raipur,2023_PWD_67653_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Job 4 Construction of and M.T of link road Raipur to Bakhawa via Mallan da Pind Km. 0-00 to 3-800 Sub Head Formation cutting 5-7 mtr. wide, including Retaining wall, Breast wall, Toe wall, Cross Drainage work and cement concrete pavement, Providing","Job 4 Construction of and M.T of link road Raipur to Bakhawa via Mallan da Pind Km. 0-00 to 3-800 Sub Head Formation cutting 5-7 mtr. wide, including Retaining wall, Breast wall, Toe wall, Cross Drainage work and cement concrete pavement, Providing",Please refer to Bidding Documents ,NA ,"4,12,07,762",Civil Works - Roads,NA ,Tender,75.0,365.0,Una,174303.0,NA ,NA ,NA ,"Superintending Engineer, 15th Circle, HPPWD Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"5,000",Nil,Nil,No,"8,25,000",No,fixed,,Nil,Nil,30-Jan-2023 10:00 AM,10-Feb-2023 11:00 AM,30-Jan-2023 10:30 AM,10-Feb-2023 09:00 AM,NA ,NA ,30-Jan-2023 10:30 AM,10-Feb-2023 09:00 AM,20-Feb-2023 11:30 AM,"Superintending Engineer, 15th Circle, HPPWD Una","Superintending Engineer, 15th Circle, HPPWD Una",PWD,2023_PWD_67653_1,Job 4 Construction of and M.T of link road Raipur,"Job 4 Construction of and M.T of link road Raipur to Bakhawa via Mallan da Pind Km. 0-00 to 3-800 Sub Head Formation cutting 5-7 mtr. wide, including Retaining wall, Breast wall, Toe wall, Cross Drainage work and cement concrete pavement, Providing","S.E. 15th Circle, HPPWD,Una",Internal,"Supdt Gr II Works Circle Una, Supdt Gr I Circle Una, A.E.Design Circle Una, DAO Una Divn. E.E. Una",Arvind Chaudhary,15-Feb-2023 05:18 PM,20-Feb-2023 11:30 AM,techsummary_101945.pdf (1529.17 KB),"Superintending Engineer, 15th Circle, HPPWD Una",Internal,"Supdt. Gr-II Works Circle Una, Supdt.Gr-I Circle Una, C.H.D. Circle Una A.E.Design Circle Una, DAO Daulatpur Chowk Divn. E.E. Daulatpur Chowk",Arvind Chaudhary,21-Feb-2023 06:54 PM,finsummary_101945.pdf (450.92 KB),19-Jun-2023,"INR 30,617,547",365.0,Virender Kumar Dhiman,22-Aug-2023 05:15 PM,AWARD19623.pdf (987.00 KB),1.0,320812.0,K.K. Construction,09-Feb-2023 09:19 PM,Accepted-AOC,AWARD,22-Aug-2023,Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,10-Feb-2023 04:26 PM,technical_101945.pdf,1.0,320812.0,K.K. Construction,INR,"30,617,547",Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,20-Feb-2023 04:05 PM,finance_101945.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,317902.0,M/s Bhagwati Construction Co.,10-Feb-2023 08:51 AM,Rejected-Finance,Not L-1,21-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Clause 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience in works of a similar nature and size for each of the last five years, and details of wor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of ownership of major items of construction equipment named in Clause 4.4B (b) (i) of ITB o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of the technical personnel proposed to be employed for the Contract having the qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Reports on the financial standing of the Bidder, such as profit and loss statements and auditors re",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of access to line(s) of credit and availability of other financial resources/ facilities (1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information regarding any litigation or arbitration during the last five years in which the Bidder i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
