Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
HPSEBL||CE(OP) South||SE(OP) Solan,14-2023-24,2023_HPSEB_73929_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,"Due Date Extended - Due to some issues in accessing portal, all the tenders due for closing on 02-June-2023 from 10.00 Hrs. to 18.55 Hrs have been extended by 72 hours as per System Malfunction Procedure.",Admin Corrigendum Date Extend,,1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fees,14-2023-24,E Tendering on partial turnkey basis for providing 11 KV HT line from Microwave to Baghedkhad to propose 11 04 KV 400 KVA DTR 2 Nos at IPH WSS Baghedkhad in Electrical Sub Office Chail under Electrical Sub Division HPSEBL Kandaghat,A-Class Electrical License with Chief Electrical Inspector Shimla ,NA ,"65,36,324",Electrical Works,HT DTR CTPT and RMU ,Tender,180.0,90.0,Solan,173211.0,NA ,NA ,NA ,"SE (OP) Circle, HPSEBL, Solan",No ,No,"65,363",No,percentage,1.0%,Nil,Nil,"1,180",Nil,Nil,No,Superintending Engineer,"SE (OP) Circle, HPSEBL, Solan Power House Road Saproon Solan",1.0,ICICI BANK,26-May-2023 10:00 AM,08-Jun-2023 11:00 AM,26-May-2023 10:10 AM,07-Jun-2023 04:00 PM,26-May-2023 10:20 AM ,27-May-2023 12:00 PM ,27-May-2023 12:05 PM,07-Jun-2023 04:00 PM,15-Jun-2023 03:45 PM,Technical,Technical document downloaded successfully and committee member detail uploaded,Mohan Singh Guleria,08-Jun-2023 04:22 PM,technical_111003.pdf,Finance,Price bid downloaded successfully and committee member detail uploaded,Mohan Singh Guleria,15-Jun-2023 03:53 PM,finance_111003.pdf,BOQ Comparative Chart,21-Jun-2023,"INR 6,013,418",90.0,Mohan Singh Guleria,21-Jun-2023 12:18 PM,Award14.pdf (6386.00 KB),Detail Award uploaded,1.0,352655.0,Aman Electrical,07-Jun-2023 03:04 PM,Accepted-AOC,Awarded,21-Jun-2023,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,15-Jun-2023 03:43 PM,15-Jun-2023 03:45 PM,techsummary_111003.pdf (364.04 KB),Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,21-Jun-2023 12:14 PM,finsummary_111003.pdf (364.04 KB),1.0,352655.0,Aman Electrical,INR,"6,013,418",HPSEBL||CE(OP) South||SE(OP) Solan,2023_HPSEB_73929_1,14-2023-24,14-2023-24
,,,,,,,,,,,,,,2.0,Date extended 14,Date,,,,.pdf,A-Class Electrical License with Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351236.0,ARUN ELECTRICALS INDIA,07-Jun-2023 01:03 PM,Rejected-Finance,Rejected,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.0,Technical ammendment,Technical Bid,,,,.pdf,BID Capacity/Turnover Certificate with CA Certified as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,352122.0,kaushal Electricals,07-Jun-2023 12:14 PM,Rejected-Finance,Rejected,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,351345.0,Nivesh Engineering and Power Solutions,07-Jun-2023 11:45 AM,Rejected-Finance,Rejected,21-Jun-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate/completion certificate as per SBD Volume-I, Section-III, Clause No. 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,EPFO/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"Joint Venture as per SBD, if applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
