Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Sh.Manish Sehgal,Internal,aoc,Manish Sehgal,16-Jun-2023 02:59 PM,finsummary_40681.pdf (133.03 KB),16-Jun-2023,"INR 15,348,415.7",365.0,Manish Sehgal,16-Jun-2023 03:01 PM,AOC.pdf (1871.00 KB),aoc,PWD,2019_PWD_28320_1,24425-65,Imp. and Up-gradation of Menjha to Upper Menjha road Km. 0/00 to 4/270( Under NABARD RIDF-XXIII),EE Manish Sehgal,Internal,"Er KC Dhiman AE Palampur, Er DS Thakur AE to EE, Sh. Rajesh Sood Sr DAO, Sh Sunil Dutt Supdt, Sh Manoj Kumar HDM",Manish Sehgal,08-May-2019 05:01 PM,08-May-2019 05:05 PM,techsummary_40681.pdf (1108.70 KB),Technical,summary,Manish Sehgal,08-May-2019 04:57 PM,technical_40681.pdf,1.0,120567.0,MCC POWER PROJECTS PVT. LTD.,15-Apr-2019 04:11 PM,Rejected-Technical,Non-Responsive,08-May-2019,Finance,Summary,Manish Sehgal,16-Jun-2023 02:57 PM,finance_40681.pdf,BOQ Comparative Chart,1.0,118301.0,Sanjeev,INR,"15,154,252","5,000",EE Palampur,EE Palampur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender doccument in shape of D.D. as per SBD.,Imp. and Up-gradation of Menjha to Upper Menjha road Km. 0/00 to 4/270( Under NABARD RIDF-XXIII),"C/O R/Walls, missing C.D. work, WBM-II, WBM-III, Tarring, side drain and Parapets in Km 0/00 to 4/270 )",Please refer Tender documents. ,NA ,"1,16,98,913",Civil Works - Roads,NA ,Tender,120.0,365.0,Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Corrigendum1,Date,,Executive Engineer,HPPWD Division Palmpur,1.0,DD - Demand Draft,11-Mar-2019 10:00 AM,16-Apr-2019 11:30 AM,11-Mar-2019 10:30 AM,16-Apr-2019 11:00 AM,NA ,NA ,11-Mar-2019 11:00 AM,16-Apr-2019 11:00 AM,08-May-2019 05:05 PM,"1,49,500",No,fixed,,EE Palampur,EE Palampur,PWD,24425-65,2019_PWD_28320_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118687.0,Rohit,27-Mar-2019 08:26 AM,Rejected-Finance,L2,16-Jun-2023,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,118301.0,Sanjeev,31-Mar-2019 05:41 PM,Accepted-AOC,L1,16-Jun-2023,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
