Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Sh.Manish Sehgal,Internal,,Manish Sehgal,14-Jun-2023 11:56 AM,finsummary_59616.pdf (129.95 KB),14-Jun-2023,"INR 2,736,341.2",90.0,Manish Sehgal,14-Jun-2023 11:58 AM,AOC.pdf (405.00 KB),AOC,PWD,2020_PWD_40380_1,Upper Mangehar to Chharara road in Km 0-0 to 1-200,Providing and laying Annual Surfacing (Periodic Maintenance) on Upper Mangehar to Chharara road in Km 0/0 to 1/200 and Arla Gugga Mandir road upto Bhawarna road Km 2/0 to 3/0 (during the year 2020-21) of Rural roads in the state of HP,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,06-Oct-2020 03:37 PM,06-Oct-2020 04:00 PM,techsummary_59616.pdf (918.40 KB),Finance,Summary,Manish Sehgal,14-Jun-2023 11:53 AM,finance_59616.pdf,BOQ Comparative Chart,1.0,177912.0,Sanjeev,INR,"2,727,624",Technical,Bid opening summary,Manish Sehgal,06-Oct-2020 03:33 PM,technical_59616.pdf,1.0,178008.0,M/s Kamala Enterprises,16-Sep-2020 07:51 PM,Rejected-Finance,Bid Rank-L2,14-Jun-2023,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,"39,200",No,fixed,,EE Bhawarna,Bhawarna,Providing and laying Annual Surfacing (Periodic Maintenance) on Upper Mangehar to Chharara road in Km 0/0 to 1/200 and Arla Gugga Mandir road upto Bhawarna road Km 2/0 to 3/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying WBM G-II, Tack coat and Bituminous Concrete",Please refer Tender documents. ,NA ,"19,58,100",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,500.0,EE Bhawarna,Bhawarna,No,PWD,Upper Mangehar to Chharara road in Km 0-0 to 1-200,2020_PWD_40380_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,05-Sep-2020 04:45 PM,18-Sep-2020 11:30 AM,05-Sep-2020 04:45 PM,18-Sep-2020 11:00 AM,NA ,NA ,05-Sep-2020 05:00 PM,18-Sep-2020 11:00 AM,06-Oct-2020 04:00 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,177912.0,Sanjeev,16-Sep-2020 01:36 PM,Accepted-AOC,Bid Rank-L1,14-Jun-2023,2.0,FDR - Fixed Deposit,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
