Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View
14-Jun-2023,"INR 67,742,530.71",540.0,Manish Sehgal,14-Jun-2023 04:45 PM,AOC.pdf (327.00 KB),AOC,Sh.Manish Sehgal,Internal,,Manish Sehgal,14-Jun-2023 04:43 PM,finsummary_59436.pdf (119.83 KB),Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,06-Oct-2020 03:50 PM,06-Oct-2020 04:00 PM,techsummary_59436.pdf (1005.09 KB),PWD,2020_PWD_40227_1,Chiran to Thirak via Village Devi Tilla 0.0 to10.1,Chiran to Thirak via Village Devi Tilla Km. 0/00 to 10/150 i/c Bridge over Bathu Khad at RD 1/665,1.0,178377.0,HS Engineers and Associates,INR,"67,742,531",Finance,Financial Bid opening summary,Manish Sehgal,09-Nov-2020 01:05 PM,finance_59436.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Manish Sehgal,06-Oct-2020 03:47 PM,technical_59436.pdf,1.0,178377.0,HS Engineers and Associates,20-Sep-2020 08:20 PM,Accepted-AOC,Bid Rank -L1,14-Jun-2023,05-Sep-2020 10:00 AM,01-Oct-2020 11:30 AM,05-Sep-2020 10:00 AM,01-Oct-2020 11:00 AM,NA ,NA ,05-Sep-2020 10:30 AM,01-Oct-2020 11:00 AM,06-Oct-2020 04:00 PM,"5,00,000",No,fixed,,EE Bhawarna,Bhawarna,1.0,DD - Demand Draft,Chiran to Thirak via Village Devi Tilla Km. 0/00 to 10/150 i/c Bridge over Bathu Khad at RD 1/665,"Construction of 30 mtrs. Box Girder Bridge, Formation cutting, Passing Places, C/o Protection work, Cross Drainage, Providing and laying GSB, P/L WBM-II, WBM-III, Interlocking Paver Block, Tarring work, Side drain, Parapets and road Furniture). (Unde",Please refer Tender documents. ,NA ,"7,60,86,432",Civil Works - Bridges,NA ,Tender,120.0,540.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,"5,000",EE Bhawarna,Bhawarna,No,PWD,Chiran to Thirak via Village Devi Tilla 0.0 to10.1,2020_PWD_40227_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum1,Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,178492.0,Ujjawal Singh,19-Sep-2020 09:24 PM,Rejected-Technical,Non-Responsive,06-Oct-2020,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,177872.0,VP SHARMA,17-Sep-2020 09:52 AM,Rejected-Finance,Bid Rank-L2,14-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly signed by CA.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,
