EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"82,300",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,Annual Surfacing on link road to village Kupri Km 0/000 to 2/600,Renewal Coat 30mm thick Bituminous Concrete in Km 0/000 to 2/600,Please refer Tender documents. ,NA ,"41,11,104",Civil Works - Roads,NA ,Tender,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,1.0,ICICI BANK,Executive Engineer,Kumarsain Division HPPWD Kumarsain,09-Mar-2023 05:00 PM,16-Mar-2023 11:00 AM,09-Mar-2023 05:30 PM,15-Mar-2023 06:00 PM,NA ,NA ,09-Mar-2023 05:30 PM,15-Mar-2023 06:00 PM,21-Mar-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR number of payment made against cost of tender form.,PWD,PW-KMS-AB-NIT/2022-23-17697-98 dt 02.03.2023,2023_PWD_70349_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,335045.0,Naveen Verma,14-Mar-2023 07:02 PM,Rejected-Finance,Being 2nd lowest bidder,27-Jun-2023,Technical,Technical Bid Opening Summary,Manoj Kumar Sehgal,17-Mar-2023 03:14 PM,technical_106023.pdf,Finance,Technical Bid Evaluation Summary,Manoj Kumar Sehgal,21-Mar-2023 02:56 PM,finance_106023.pdf,BOQ Comparative Chart,1.0,335018.0,parveen,INR,"4,234,406",Er. Manoj Kumar,Internal,"Supdt Gr-II, Head Draughtsman",Manoj Kumar Sehgal,21-Mar-2023 12:57 PM,21-Mar-2023 01:00 PM,techsummary_106023.pdf (66.51 KB),PWD,2023_PWD_70349_1,PW-KMS-AB-NIT/2022-23-17697-98 dt 02.03.2023,Annual Surfacing on link road to village Kupri Km 0/000 to 2/600,27-Jun-2023,"INR 4,234,406",180.0,Manoj Kumar Sehgal,27-Jun-2023 10:54 AM,Kupri.pdf (85.00 KB),AOC,Er. Manoj Kumar,Internal,Supdt Gr-II Head Draughtsman,Manoj Kumar Sehgal,27-Jun-2023 10:43 AM,finsummary_106023.pdf (66.51 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Copy of UTR number of payment made against earnest money.,,,,,,,,,,,,,,,2.0,335018.0,parveen,14-Mar-2023 07:05 PM,Accepted-AOC,AOC,27-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
