Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Technical,Bid opening summary,Naveen Singh Kaundal,28-Jul-2022 11:48 AM,technical_94426.pdf,1.0,291699.0,Dinesh Chauhan,18-Jul-2022 08:15 AM,Accepted-AOC,Work has been completed 18.10.2022.,19-Jun-2023,1.0,291699.0,Dinesh Chauhan,INR,"6,133,970",Finance,Bid opening summary,Naveen Singh Kaundal,10-Aug-2022 03:47 PM,finance_94426.pdf,BOQ Comparative Chart,19-Jun-2023,"INR 6,133,970",60.0,Naveen Singh Kaundal,19-Jun-2023 01:01 PM,AOCdhanpatsandoa.pdf (1402.00 KB),AOC,Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ghanshyam Sharma Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,10-Aug-2022 05:28 PM,finsummary_94426.pdf (411.64 KB),Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ghanshyam Sharma Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,05-Aug-2022 03:16 PM,05-Aug-2022 03:30 PM,techsummary_94426.pdf (352.13 KB),PWD,2022_PWD_62629_3,PW-SRDD-CB-CTR/2022-9812-9861 DT.02.7.2022,Construction of Dhanpar Sandoa Gallah Sareh road km. 0/00 to 08/100,Construction of Dhanpar Sandoa Gallah Sareh road km. 0/00 to 08/100,Cutting work at Rd. 04/725 to 04/900,Please refer Tender documents. ,NA ,"58,59,359",Civil Works - Roads,NA ,Tender,120.0,60.0,Jalog,171019.0,NA ,NA ,NA ,Dhami,No ,No,"2,000",Nil,Nil,No,"1,17,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,PWD,PW-SRDD-CB-CTR/2022-9812-9861 DT.02.7.2022,2022_PWD_62629_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Execuitve Engineer Dhami,HPPWD Shimla Rural Division Dhami,11-Jul-2022 05:00 PM,19-Jul-2022 11:00 AM,11-Jul-2022 05:00 PM,18-Jul-2022 06:00 PM,NA ,NA ,11-Jul-2022 05:00 PM,18-Jul-2022 06:00 PM,05-Aug-2022 03:30 PM
,,,,,2.0,291635.0,Kapoor Construction,17-Jul-2022 06:29 PM,Rejected-Technical,Non-responsive,05-Aug-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,
,,,,,3.0,291701.0,Vijay Sharma,18-Jul-2022 08:04 AM,Rejected-Finance,L2 Bidder,10-Aug-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,
