S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
1.0,344518.0,Dhiman Elect-,INR,"2,914,520","Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2023_HIMUD_72426_1,HIMUDA/EDD/W7/109-118 Dated 24.04.2023,Construction of Partially Self Financing Scheme at Hamirpur Distt. Hamirpur H.P.,Er. Rajni Duggal Executive Engineer (E),Internal,"er. Ram Krishan AE(E), Mr. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,10-May-2023 03:45 PM,finsummary_108952.pdf (1584.65 KB),15-Jun-2023,"INR 4,215,478",365.0,Ram Krishan,19-Jun-2023 01:05 PM,Award.pdf (1795.00 KB),Award of Contract,Finance,Bid opening Summary,Ram Krishan,10-May-2023 12:10 PM,finance_108952.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Ram Krishan,10-May-2023 11:51 AM,technical_108952.pdf,Er. Rajni Duggal Executive Engineer,Internal,"Er. Ram Krishan AE(E) ,Mr. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu, JOA(IT)",Ram Krishan,10-May-2023 11:55 AM,10-May-2023 12:00 PM,techsummary_108952.pdf (849.42 KB),1.0,344466.0,ARUN KUMAR SHARMA,04-May-2023 12:03 PM,Rejected-Finance,Not L1 Bidder,10-May-2023,"84,310",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of Earnest Money and Cost of Tender (As per NIT),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W7/109-118 Dated 24.04.2023,2023_HIMUD_72426_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of Partially Self Financing Scheme at Hamirpur Distt. Hamirpur H.P.,Providing Internal EI work to 12 Nos. Cat-I Flats with Parking (Block No. 8 and 9 therin),Please refer Tender documents. ,NA ,"42,15,478",Electrical Works,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,HIMUDA Electrical Division Dharamshala,No ,No,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt. Kangra H.P.176057,25-Apr-2023 10:00 AM,06-May-2023 10:00 AM,25-Apr-2023 12:00 PM,04-May-2023 04:00 PM,25-Apr-2023 12:00 PM ,04-May-2023 04:00 PM ,25-Apr-2023 12:00 PM,04-May-2023 04:00 PM,10-May-2023 12:00 PM,"2,360",Nil,Nil,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,345069.0,Deepak Sood,04-May-2023 10:54 AM,Rejected-Finance,Not L1 Bidder,10-May-2023,,,,,,,,,.pdf,Registration with HPPWD/HIMUDA or with the similar HP Govt. agencies in appropriate Class of Cont.,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,344518.0,Dhiman Elect-,29-Apr-2023 11:25 AM,Accepted-AOC,Lowest Bidder,19-Jun-2023,,,,,,,,,.pdf,Copy of PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,345079.0,Rajesh Kumar Jaswal,04-May-2023 11:49 AM,Rejected-Finance,Not L1 Bidder,10-May-2023,,,,,,,,,.pdf,Copy of GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,344946.0,SHARMA ELECTRICAL CO.,04-May-2023 10:31 AM,Rejected-Finance,Not L1 Bidder,10-May-2023,,,,,,,,,.pdf,Copy of license issued by the Chief Electrical Inspector Shimla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate as per Condition No. 16 of From 6 of Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Integrity Pact submitted by the Bidder as per Form No. 8 Page No. 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
