Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Technical,SUMMARYATTACHED,Krishan Bhardwaj,07-Mar-2023 07:12 PM,technical_104565.pdf,1.0,329193.0,Arvind Sharma,25-Feb-2023 07:41 PM,Rejected-Finance,L4,09-Apr-2023,Finance,SUMMARYATTACHED,Krishan Bhardwaj,09-Apr-2023 01:38 PM,finance_104565.pdf,BOQ Comparative Chart,1.0,328999.0,PARDEEP KUMAR GOVT. CONTRACTOR,INR,"2,690,994",EXECUTIVEENGINEER,Internal,AE DAO SUPDT HDM GA,Krishan Bhardwaj,09-Apr-2023 02:13 PM,finsummary_104565.pdf (576.26 KB),06-Jun-2023,"INR 3,028,694",60.0,Arvind Lakhanpal,06-Jun-2023 03:48 PM,69287-1.pdf (408.00 KB),Annual maintenance plan for the year 2023-24 on link road from Purli to Kujabalh via Jiana,PWD,2023_PWD_69287_1,PWTDD-GA-NIT-22-23-17075-83 DT.16.02.2023,Annual maintenance plan for the year 2023-24 on link road from Purli to Kujabalh via Jiana,EXECUTIVEENGINEER,Internal,GA SUPDT DAO HDM AE,Krishan Bhardwaj,07-Mar-2023 07:26 PM,09-Mar-2023 11:30 AM,techsummary_104565.pdf (1715.40 KB),"1,500",Nil,Nil,No,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,1.0,ICICI BANK,Annual maintenance plan for the year 2023-24 on link road from Purli to Kujabalh via Jiana,Repair of pot hole PL 30mm thick BC and 025mm thick road marking thermoplastic strip,Please refer Tender documents. ,NA ,"30,28,694",Civil Works,NA ,Tender,75.0,60.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,PWD,PWTDD-GA-NIT-22-23-17075-83 DT.16.02.2023,2023_PWD_69287_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,CORRIGENDUMDATE,Date,,20-Feb-2023 05:20 PM,01-Mar-2023 11:00 AM,20-Feb-2023 06:00 PM,28-Feb-2023 05:00 PM,NA ,NA ,21-Feb-2023 09:00 AM,28-Feb-2023 05:00 PM,09-Mar-2023 11:30 AM,"53,000",No,fixed,,Nil,Nil
,,,,,2.0,329030.0,MOHINDER PAL GOVT. CONTRACTOR,25-Feb-2023 12:34 PM,Rejected-Finance,L2,09-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 23),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,328999.0,PARDEEP KUMAR GOVT. CONTRACTOR,25-Feb-2023 01:47 PM,Accepted-AOC,work completed,06-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,328618.0,Piar Chand Chauhan,25-Feb-2023 06:32 PM,Rejected-Finance,L3,09-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and HMP in the radius of 30km execution Having NOC from H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
