Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"5,000",Nil,Nil,No,1.0,SBI Bank,"2,00,000",No,fixed,,Nil,Nil,SELF PRIMMING PUMPSET,SELF PRIMMING PUMPSET,Please refer Tender documents. ,NA ,,Farm Machinery and Equipments,NA ,Rate Contract,365.0,120.0,All Districts of Assam,781006.0,"Directorate of WPT and BC, Assam ","Directorate of WPT and BC, Assam, Rukmini Nagar, Guwahati 6 ",04-Jul-2022 11:00 AM ,"Directorate of WPT and BC, Assam",No ,No,"Director of WPT and BC, Assam","Directorate of WPT and BC, Assam, Rukmini Nagar, Guwahati 6",1.0,Fee/PreQual/Technical,.pdf,Bid Document,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,"DW/NIT/77/2022-23/28-29, Dtd. 9th of June 2022",2022_WPTBC_26117_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,27-Jun-2022 04:00 PM,14-Jul-2022 04:00 PM,27-Jun-2022 04:00 PM,14-Jul-2022 02:00 PM,NA ,NA ,27-Jun-2022 04:00 PM,14-Jul-2022 02:00 PM,02-Nov-2022 02:00 PM,AOC,1.0,152347.0,S S ENTERPRISE,INR,0.0,1,153381,Aruna Brahma,13-Jul-2022 09:54 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,Technical,Technical Evaluation,Sajen Langthasa,01-Nov-2022 01:24 PM,technical_40316.pdf,Director Tribal Affairs Plain,Internal,Director Joint Secretary Deputy Director FAO of Tribal Affairs Plain etc,Darendra Singha,29-May-2023 02:05 PM,finsummary_40316.pdf (1068.65 KB),Finance,Financial opening,Darendra Singha,29-May-2023 01:37 PM,finance_40316.pdf,BOQ Comparative Chart,06-Jun-2023,INR 0.0,365.0,Darendra Singha,06-Jun-2023 04:56 PM,SELFPRIMMINGPUMPSET.pdf (114.00 KB),Financial qualification,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,2022_WPTBC_26117_1,"DW/NIT/77/2022-23/28-29, Dtd. 9th of June 2022",SELF PRIMMING PUMPSET,Director of Tribal Affairs Plain,Internal,Director Joint Secretary Deputy Director F and AO of Tribal Affairs Plain etc,Sajen Langthasa,02-Nov-2022 10:46 AM,02-Nov-2022 02:00 PM,techsummary_40316.pdf (434.94 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,152359.0,Trade Supply India,INR,0.0,2,153404,DESHRING KEMPRAI,13-Jul-2022 04:33 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Additional Documents,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,152362.0,M/S MIRUSI ENTERPRISE,INR,0.0,3,153444,H.R. ENTERPRISE,14-Jul-2022 12:02 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,152363.0,SURYA ENTERPRISES,INR,0.0,4,153358,MOKSHA SALES & SERVICE,13-Jul-2022 09:58 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,152783.0,M/S J.D. Associates,INR,0.0,5,153295,M/S B D ENTERPRISE,13-Jul-2022 09:36 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,153167.0,SANTANA ENTERPRISE,INR,0.0,6,153259,M/S BHAGYA TRADERS,13-Jul-2022 10:03 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7.0,153209.0,M/S DONYI POLO ENTERPRISES,INR,0.0,7,153209,M/S DONYI POLO ENTERPRISES,13-Jul-2022 09:42 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8.0,153259.0,M/S BHAGYA TRADERS,INR,0.0,8,153449,M/S JARIO INC,13-Jul-2022 09:49 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9.0,153295.0,M/S B D ENTERPRISE,INR,0.0,9,152783,M/S J.D. Associates,13-Jul-2022 04:10 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10.0,153343.0,R.D ASSOCIATES,INR,0.0,10,153523,M/S M D ASSOCIATES,14-Jul-2022 01:12 PM,Accepted-AOC,Rate qualified,06-Jun-2023 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
