Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Cover No,Cover,Document Type,Description,S.No.2,Category,Sub Category,Sub Category Description,Format/File,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
PWD,2022_PWD_61103_14,PW-RD-GA-T-2111-24dt17-3-22,R/R damages on Kharapather Sheelghat Sharontha Tikkar road km 7/0 to 33/560,PAWAN KUMAR,Internal,Ranvier,Duni Chand Chauhan,12-Jul-2022 03:53 PM,finsummary_92244.pdf (509.76 KB),1.0,284680.0,Parveen Chauhan,INR,"1,055,667",20-Jun-2023,"INR 1,055,067",60.0,Chuni Lal Azad,20-Jun-2023 03:55 PM,Randhir.pdf (520.00 KB),AOC,1.0,284680.0,Parveen Chauhan,31-May-2022 02:11 PM,Accepted-AOC,AOC,20-Jun-2023,PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,15-Jun-2022 01:44 PM,15-Jun-2022 02:00 PM,techsummary_92244.pdf (66.74 KB),Technical,Bid Opening Summary,Duni Chand Chauhan,15-Jun-2022 01:30 PM,technical_92244.pdf,Finance,Bid Opening Summary,Pawan Kumar Garg,15-Jun-2022 03:55 PM,finance_92244.pdf,BOQ Comparative Chart,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,1.0,ICICI BANK,PWD,PW-RD-GA-T-2111-24dt17-3-22,2022_PWD_61103_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"14,000",No,fixed,,Nil,Nil,26-May-2022 05:30 PM,01-Jun-2022 11:00 AM,26-May-2022 05:30 PM,31-May-2022 06:00 PM,NA ,NA ,26-May-2022 05:30 PM,31-May-2022 06:00 PM,15-Jun-2022 02:00 PM,R/R damages on Kharapather Sheelghat Sharontha Tikkar road km 7/0 to 33/560,(SH- C/O R/wall in PCC 1 3 6 at RD 30/250 to 30/261),Please refer Tender documents. ,NA ,"6,81,320",Civil Works - Roads,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,2.0,284684.0,VIPIN KAPTA,31-May-2022 02:23 PM,Rejected-Finance,2 nd lowest,12-Jul-2022,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CA/Turnover of Last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
