S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,"2,000",Nil,Nil,No,"1,96,850",No,fixed,,Nil,Nil,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,PWD,Nagrota 09/05,2023_PWD_73034_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of Dawar under Temple Tourism on various roads under Nagrota Bagwan Constituency in District Kangra, (H.P.). (SH-Construction of Dawar at various location in HP PWD Division Tanda at Nagrota Bagwan)","Construction of Dawar under Temple Tourism on various roads under Nagrota Bagwan Constituency in District Kangra, (H.P.). (SH-Construction of Dawar at various location in HP PWD Division Tanda at Nagrota Bagwan)",Please refer Tender documents. ,NA ,"98,41,690",Civil Works,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,27-May-2023 12:20 PM,05-Jun-2023 11:00 AM,27-May-2023 12:20 PM,05-Jun-2023 10:00 AM,NA ,NA ,27-May-2023 12:20 PM,05-Jun-2023 10:00 AM,06-Jun-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,"Due Date Extended - Due to some issues in accessing portal, all the tenders due for closing on 02-June-2023 from 10.00 Hrs. to 18.55 Hrs have been extended by 72 hours as per System Malfunction Procedure.",Admin Corrigendum Date Extend,,PWD,2023_PWD_73034_3,Nagrota 09/05,"Construction of Dawar under Temple Tourism on various roads under Nagrota Bagwan Constituency in District Kangra, (H.P.). (SH-Construction of Dawar at various location in HP PWD Division Tanda at Nagrota Bagwan)",Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,06-Jun-2023 11:52 AM,06-Jun-2023 01:00 PM,techsummary_111098.pdf (1140.15 KB),Executive Engineer,Internal,AE DAO Supdt Hdm,Suresh Kumar Walia,24-Jun-2023 03:29 PM,finsummary_111098.pdf (247.91 KB),27-Jun-2023,"INR 9,841,690",90.0,Suresh Kumar Walia,15-Jul-2023 01:21 PM,Award.pdf (319.00 KB),Award,1.0,350970.0,abhinav,31-May-2023 05:14 PM,Accepted-AOC,Award,15-Jul-2023,Technical,SUM,Suresh Kumar Walia,06-Jun-2023 11:51 AM,technical_111098.pdf,Finance,sum,Suresh Kumar Walia,24-Jun-2023 03:28 PM,finance_111098.pdf,BOQ Comparative Chart,1.0,350970.0,abhinav,INR,"9,546,440"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,351619.0,Harbhajan singh,04-Jun-2023 10:02 AM,Rejected-Finance,Lowest 2,24-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,351649.0,Sanjay Kaistha,04-Jun-2023 10:49 AM,Rejected-Finance,Lowest 3,24-Jun-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
