Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,Strengtheining of NH-88 on Shimla Mator Brahampukhar from Brahampukhar Jabba,2024_PWD_93894_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Form of bid for part 1 of the bid as per format,04-Oct-2024 03:00 PM,10-Oct-2024 11:00 AM,04-Oct-2024 03:00 PM,10-Oct-2024 10:00 AM,04-Oct-2024 03:00 PM,09-Oct-2024 11:00 AM,04-Oct-2024 03:00 PM,10-Oct-2024 10:00 AM,19-Oct-2024 04:15 PM,"10,45,500",No,fixed,,EE HPPWD Bilaspur Div-2,Bilaspur HP,1.0,the form fo contract shall be read as Percentage basis instead of item rate,Technical Bid,,1,Certificate Details,Permanent Account Number,Permanent Account Number Details,,1.0,ICICI BANK,"5,000",EE HPPWD Bilaspur Div-2,EE HPPWD Bilaspur Div-2,No,Executive Engineer Bilaspur Division No.II,Executive  Engineer Bilaspur Division-2 HPPWD Bilaspur,Strengtheining of NH-88 on Shimla Matour Corridor portion from Brahampukhar to jabbal bridge km 71/00 to 79/00,"Providing and laying 50mm thick Dense Graded Bitumen Macadam and 30mm thick Bitumen and concrete, providing Mastic Ashphalt wearing course centre line edge line and crash Barrier etc",Please refer Tender documents.,,,Civil Works,,Tender,75.0,180.0,Bilaspur H.P.,174001.0,,,,Executive Engineer Bilaspur Division No.II,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Authorized address and contact details of the Bidder,,,,,,,,,,,,,,,,,,,,2,Certificate Details,Registration Certificate,Registration Certificate Details,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Cost of bidding documents and EMD,,,,,,,,,,,,,,,,,,,,3,Certificate Details,Sales Tax/VAT,Sales Tax/VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Qualification information,,,,,,,,,,,,,,,,,,,,4,Certificate Details,Bidders Address Format,Bidders Address Format Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,5,Certificate Details,Income Tax Certificate,Income Tax Certificate Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid validity,,,,,,,,,,,,,,,,,,,,6,Certificate Details,Partnership Deed,Partnership Deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Declaration regarding excise/custom duty exemption,,,,,,,,,,,,,,,,,,,,7,Certificate Details,Character Certificate,Character Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Any other documents as specified in the Bid Data Sheet,,,,,,,,,,,,,,,,,,,,8,Certificate Details,Labour License,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractor Registration GST and EPF,,,,,,,,,,,,,,,,,,,,9,Certificate Details,Power of Attorney,Power of Attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,All GCC will be applicable,,,,,,,,,,,,,,,,,,,,10,Certificate Details,Affidavit regarding correctness of bid,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Cont. has a Hot mix plant of 40-60 MT per hour cap. and should be with in 35 Kms distance from site.,,,,,,,,,,,,,,,,,,,,11,Certificate Details,Affidavit regarding No Near Relative working in department,Affidavit regarding No Near Relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of bid for Part II of the bid as per format,,,,,,,,,,,,,,,,,,,,12,Financial Details,Annual Turn over certificates from CA,Annual Turn over certificates from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,13,Financial Details,Access of Credit Facility issued by Bankers,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Financial Details,Payment Certificates,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Litigation Details,Litigation Details,Litigation Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Machinery Details,Machinery Lease/Hire agreement copy,Machinery Lease/Hire agreement copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Man Power Details,Affidavit Details,Affidavit Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Miscellaneous,Laboratory Equipment Details,Laboratory Equipment Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Miscellaneous,Miscellaneous Docs,Miscellaneous Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Miscellaneous,Existing Work Order Commitment,Ongoing Work Order Details with percentage of work completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Work Details,Work Completed Certificate Copies,Work Completed Certificate Copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
