Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
23-Jun-2023 05:00 PM,04-Jul-2023 11:00 AM,23-Jun-2023 05:00 PM,03-Jul-2023 06:00 PM,NA ,NA ,23-Jun-2023 05:00 PM,03-Jul-2023 06:00 PM,07-Jul-2023 12:00 PM,Executive Engineer NH Theog,HP PWD Theog,"86,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,1.0,ICICI BANK,"2,000",Nil,Nil,No,PWD,PW.NH.EE.Thg.Ten.-23-1053-62 dt.15.06.2023,2023_PWD_75343_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Maintenance of NH 22 New NH 05 on Kalka Shimla Wangtoo road in km 153.180 to 236.0,SH C.O R.Wall providing and laying WMM DGBM 50mm 40mm BC at Km 13.665 to 13.680 and P.L WMM P.L DGBM. P.L BC in Km 13.660 to 13.880 on shimla bypass in sinking portion of road.,Please refer Tender documents. ,NA ,"43,16,805",Civil Works - Roads,NA ,Tender,120.0,90.0,NH Theog,171201.0,NA ,NA ,NA ,EE NH Theog,No ,No,1.0,357720.0,Mahendar Singh,01-Jul-2023 04:34 PM,Rejected-Finance,Non Responsive,06-Sep-2023,Technical,summary,Prithi Pal Singh,04-Jul-2023 05:55 PM,technical_112885.pdf,1.0,357662.0,Narinder Singh,INR,"4,489,478",Finance,summary,Prithi Pal Singh,14-Jul-2023 11:55 AM,finance_112885.pdf,BOQ Comparative Chart,EE Pawan Garg,Internal,Jagdish Sharma Supdt Anil Kumar Sr Asstt Suresh Sharma Jr Asstt,Kanav Barota,06-Jul-2023 05:34 PM,07-Jul-2023 12:00 PM,techsummary_112885.pdf (436.80 KB),PWD,2023_PWD_75343_1,PW.NH.EE.Thg.Ten.-23-1053-62 dt.15.06.2023,Maintenance of NH 22 New NH 05 on Kalka Shimla Wangtoo road in km 153.180 to 236.0,24-Jan-2024,"INR 4,489,478",90.0,Ravi Kapoor,24-Jan-2024 02:44 PM,AOC.pdf (1161.00 KB),AOC,PP Singh,Internal,Jagdish Sharma Supdt Anil Kumar Sr Asstt Suresh Sharma Jr Asstt,Prithi Pal Singh,06-Sep-2023 01:04 PM,finsummary_112885.pdf (485.84 KB)
,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per clause 4.3 of ITB,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357662.0,Narinder Singh,01-Jul-2023 04:24 PM,Accepted-AOC,Responsive,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,General work experience (Work done) as per clause 4.5.3 ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Working programme(Proposed work method and schedule) as per clause 4.1 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek reference for bidders bankers a per clause 1.10 of Sec.2 and 4.3 (i) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Name/address of bidders bankers with the place of registration telephone/Mob. No. of Contractor and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Litigation history as per clause 1.11 of section-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of bid validity for a period of 120 days after the last date of submission of bids as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bid information furnished with the Bid is Correct and true in all Respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.pdf,Any Additional Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
