Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
EE Hamirpur,Executive Engineer HPPWD Division Hamirpur,"24,700",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,Co link road from Pathyalu to Adarsh Nagar km 00 to 2700,SH Co 4 metre Span RCC Culvert at RD 0850,Please refer Tender documents. ,NA ,"12,31,695",Civil Works,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,500.0,Nil,Nil,No,30-Sep-2023 06:00 PM,06-Oct-2023 11:30 AM,30-Sep-2023 06:00 PM,06-Oct-2023 10:30 AM,NA ,NA ,30-Sep-2023 06:00 PM,06-Oct-2023 10:30 AM,23-Oct-2023 11:00 AM,1.0,ICICI BANK,PWD,Pathyalu to Adarsh Nagar,2023_PWD_79564_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_79564_1,Pathyalu to Adarsh Nagar,Co link road from Pathyalu to Adarsh Nagar km 00 to 2700,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Oct-2023 12:43 PM,23-Oct-2023 11:00 AM,techsummary_118566.pdf (895.34 KB),EE Hamirpur,Internal,Attached,Sanjay Katoch,21-Dec-2023 07:53 PM,finsummary_118566.pdf (522.13 KB),11-Jan-2024,"INR 1,290,199",60.0,Sanjay Katoch,11-Jan-2024 03:18 PM,letter2.pdf (494.00 KB),Award,1.0,376063.0,Ashok Kumar,04-Oct-2023 08:14 PM,Rejected-Finance,l2,21-Dec-2023,Technical,Attached,Sanjay Katoch,07-Oct-2023 05:22 PM,technical_118566.pdf,Finance,Attached,Sanjay Katoch,21-Dec-2023 07:44 PM,finance_118566.pdf,BOQ Comparative Chart,1.0,376085.0,Mukesh,INR,"1,290,199.9"
,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,376104.0,Mohit,05-Oct-2023 07:38 AM,Rejected-Finance,l3,21-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,376085.0,Mukesh,04-Oct-2023 10:59 PM,Accepted-AOC,l1,11-Jan-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,GST and EPF Registration and ECR statement latest Clearance Statement with Monthly contribution Chal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
