Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Corrigendum Title,Corrigendum Type,View
Er. B. M. Thakur,Internal,"Er. Vijay Verma EE Jaisinghpur, EE(D), CHD,Supdt. works O/o SE, 5th Cirlce Palampur",Vijay Kumar Verma,10-Jan-2024 06:11 PM,finsummary_122432.pdf (343.65 KB),19-Jan-2024,"INR 22,682,857",550.0,Vijay Kumar Verma,31-Jan-2024 01:00 PM,AocKeruRoadSanjeev.pdf (927.00 KB),Shri Sanjeev Kumar R/O Barram,PWD,2023_PWD_82380_1,NABARD Palampur 11553-63,Construction of Keru Kelan to Kotlu Road km 0/000 to 1/550 including 40.00 mtr span RCC Box Girder Bridge over Mandh Khad at RD 1/125 in District Kangra (HP),"Er. B.M. Thakur, S.E.",Internal,"Supdt. Gr-II (WS) CHD, EE(D) all of 5th Circle HPPWD Palampur and EE Jaisinghpur",Vijay Kumar Verma,29-Dec-2023 02:18 PM,03-Jan-2024 11:30 AM,techsummary_122432.pdf (1133.27 KB),Technical,As per document attached,Vijay Kumar Verma,29-Dec-2023 02:10 PM,technical_122432.pdf,1.0,393610.0,G.P.ACHARYA,26-Dec-2023 03:17 PM,Rejected-Finance,L5,10-Jan-2024,1.0,388602.0,SANJIV KUMAR,INR,"22,682,857",Finance,As per document attached,Vijay Kumar Verma,08-Jan-2024 05:40 PM,finance_122432.pdf,BOQ Comparative Chart,"6,38,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6.,1.0,ICICI BANK,Construction of Keru Kelan to Kotlu Road km 0/000 to 1/550 including 40.00 mtr span RCC Box Girder Bridge over Mandh Khad at RD 1/125 in District Kangra (HP),"SH- Formation Cutting, C/O Passing places, R/wall, Missing C.D. work, GSB, WBM-II, WBM-III,Tarring work, CC Pavement, Side Drain , parapetsand road side furniture including routine maintenance for five years after completion of construction work.",Please refer Tender documents. ,NA ,"3,19,10,842",Civil Works,NA ,Tender,120.0,550.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Palampur,No ,No,PWD,NABARD Palampur 11553-63,2023_PWD_82380_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,"Superintending Engineer, 5th Circle HP PWD Palampur",07-Dec-2023 09:00 AM,27-Dec-2023 11:30 AM,07-Dec-2023 11:30 AM,26-Dec-2023 05:00 PM,NA ,NA ,07-Dec-2023 11:30 AM,26-Dec-2023 05:00 PM,03-Jan-2024 11:30 AM,"5,000",Nil,Nil,No,1.0,Corrigendum,Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,391074.0,Kulvinder Singh Rana,26-Dec-2023 04:44 PM,Rejected-Finance,L2,10-Jan-2024,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1 (online,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,391135.0,MALKIAT SINGH AND COMPANY,25-Dec-2023 06:28 PM,Rejected-Finance,L3,10-Jan-2024,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,391874.0,MOHINDER PAL GOVT. CONTRACTOR,26-Dec-2023 01:48 PM,Rejected-Finance,L4,10-Jan-2024,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,388602.0,SANJIV KUMAR,26-Dec-2023 10:26 AM,Accepted-AOC,L1,03-Feb-2024,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4) along with documents i.e. bills, RCs etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 3(1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl 4.4B(a), (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of Bid for Part-II of the Bid as per Section-6 a/w item rates offered by the Employer for R.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
