Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address
02-Jan-2024,"INR 29,754,000",1095.0,Puneet Sharma,02-Jan-2024 12:35 PM,Harjeet.pdf (322.00 KB),AOC,Finance,summary,Puneet Sharma,21-Oct-2023 01:54 PM,finance_118191.pdf,BOQ Comparative Chart,Technical,summary,Puneet Sharma,21-Oct-2023 01:20 PM,technical_118191.pdf,---,Internal,------,Puneet Sharma,21-Oct-2023 01:21 PM,21-Oct-2023 01:25 PM,techsummary_118191.pdf (2505.07 KB),1,375585,ASHISH KUMAR GOVT CONTRACTOR,03-Oct-2023 02:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,1.0,375251.0,HARJEET SINGH,INR,"29,754,000","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_79303_1,No. JSV-1/TA/ E-tender/23-12728-55 Dt 23-09-23,"Repair, Operation and Maintenance of Lift irrigation Scheme for Upper Beet Area in tehsil Haroli Distt. Una (HP) (Sub Head Operation and maintenance of Pumping Machinery and Rising mains alongwith deployment of staff for three years)",---,Internal,AOC,Puneet Sharma,02-Jan-2024 12:34 PM,finsummary_118191.pdf (322.20 KB),1.0,ICICI BANK,"3,09,277",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"2,500",Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,25-Sep-2023 10:00 AM,04-Oct-2023 11:00 AM,25-Sep-2023 10:00 AM,03-Oct-2023 05:00 PM,25-Sep-2023 10:00 AM ,03-Oct-2023 05:00 PM ,25-Sep-2023 10:00 AM,03-Oct-2023 05:00 PM,21-Oct-2023 01:25 PM,"Repair, Operation and Maintenance of Lift irrigation Scheme for Upper Beet Area in tehsil Haroli Distt. Una (HP) (Sub Head Operation and maintenance of Pumping Machinery and Rising mains alongwith deployment of staff for three years)","Repair, Operation and Maintenance of Lift irrigation Scheme for Upper Beet Area in tehsil Haroli Distt. Una (HP) (Sub Head Operation and maintenance of Pumping Machinery and Rising mains alongwith deployment of staff for three years)",as per NIT  ,NA ,"2,76,77,666",Civil Works,NA ,Tender,120.0,1095.0,Upper Beet Area,174303.0,NA ,NA ,NA ,Una HP,No ,No,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/TA/ E-tender/23-12728-55 Dt 23-09-23,2023_HPIPH_79303_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP
,,,,,,,,,,,,,,,,,,,,,,,,,2,375753,Dogra Construction Company Pvt Ltd,03-Oct-2023 03:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode),,
,,,,,,,,,,,,,,,,,,,,,,,,,3,375251,HARJEET SINGH,29-Sep-2023 10:09 PM,Accepted-AOC,L-1,02-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,
,,,,,,,,,,,,,,,,,,,,,,,,,4,375532,HYDRAULIC ENGINEERING COMPANY,02-Oct-2023 04:50 PM,Rejected-Finance,Not Found L-1,02-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file,,
,,,,,,,,,,,,,,,,,,,,,,,,,5,375570,parmod kumar,03-Oct-2023 02:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,
,,,,,,,,,,,,,,,,,,,,,,,,,6,375538,Pershant Rai,03-Oct-2023 02:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding he has executed work two or more work,,
,,,,,,,,,,,,,,,,,,,,,,,,,7,375448,sachin ohri govt contractor,03-Oct-2023 01:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,
,,,,,,,,,,,,,,,,,,,,,,,,,8,375568,Thakur Constructions,03-Oct-2023 03:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax return (ITR),,
,,,,,,,,,,,,,,,,,,,,,,,,,9,375378,Unipro Techno Infrastructure Pvt Ltd,30-Sep-2023 03:26 PM,Rejected-Finance,Not Found L-1,02-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per NIT condition No. 5 (ix),,
,,,,,,,,,,,,,,,,,,,,,,,,,10,375470,Vijay Kumar C/O Vasudeva Electricals,03-Oct-2023 03:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,
