Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,500.0,Nil,Nil,No,1.0,ICICI BANK,23-Apr-2022 10:00 AM,02-May-2022 11:30 AM,23-Apr-2022 10:00 AM,30-Apr-2022 05:00 PM,NA ,NA ,23-Apr-2022 10:00 AM,30-Apr-2022 05:00 PM,06-May-2022 11:30 AM,Annual Maintenance on Sungal Paluin road Km. 9/0 to 10/500 for the year 2022-23 (SH Providing and laying Bituminous concrete),Annual Maintenance on Sungal Paluin road Km. 9/0 to 10/500 for the year 2022-23 (SH Providing and laying Bituminous concrete),Please refer Tender documents. ,NA ,"24,07,200",Civil Works,NA ,Tender,75.0,30.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,No.PWC- WA-II- 776-875 dated 16.4.2022,2022_PWD_59832_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"48,200",No,fixed,,Nil,Nil,Finance,BOS,Jeet Singh Thakur,29-Jun-2022 06:39 PM,finance_90498.pdf,BOQ Comparative Chart,1.0,279929.0,Surinder Pal Dhall,INR,"2,479,416",1.0,279932.0,Manesh Mehta,30-Apr-2022 11:45 AM,Rejected-Finance,L2,29-Jun-2022,Technical,BOS,Jeet Singh Thakur,05-May-2022 06:54 PM,technical_90498.pdf,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,05-May-2022 07:05 PM,06-May-2022 11:30 AM,techsummary_90498.pdf (237.22 KB),PWD,2022_PWD_59832_4,No.PWC- WA-II- 776-875 dated 16.4.2022,Annual Maintenance on Sungal Paluin road Km. 9/0 to 10/500 for the year 2022-23 (SH Providing and laying Bituminous concrete),16-Jan-2024,"INR 2,407,200",30.0,Rajeev Kumar,16-Jan-2024 03:35 PM,3280.pdf (890.00 KB),Annual Maintenance on Sungal Paluin road Km. 9/0 to 10/500 for the year 2022-23 (SH Providing and laying Bituminous concrete),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,29-Jun-2022 06:42 PM,finsummary_90498.pdf (180.32 KB)
,,,,.pdf,Earnest Money only online mode through e-payment,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,279929.0,Surinder Pal Dhall,29-Apr-2022 08:40 PM,Accepted-AOC,Work completed by the contractor and Earnest Money /FDR of the contractor may kindly be released,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof for the same will have to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
