Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Executive Engineer,Internal,HDM DAO SUPDT,Gurminder Singh,29-Apr-2023 02:59 PM,finsummary_106166.pdf (348.71 KB),12-Jan-2024,"INR 1,393,669",60.0,Gurminder Singh,12-Jan-2024 01:38 PM,Delagchalamaaward.pdf (728.00 KB),Award letter dated 27/05/2023,PWD,2023_PWD_70451_4,PW-BLP1-CB-eproc/22-19786-830 dt 16.2.23,Construction of link road from Chalama to Bharathu.,Executive Engineer,Internal,HDM DAO SUPDT,Manohar Lal Sharma,31-Mar-2023 04:44 PM,31-Mar-2023 04:45 PM,techsummary_106166.pdf (448.07 KB),Finance,Financial bid opening summary,Gurminder Singh,29-Apr-2023 02:55 PM,finance_106166.pdf,BOQ Comparative Chart,1.0,335292.0,Ram Lal,INR,"975,568",Technical,Technical bid opening summary,Manohar Lal Sharma,31-Mar-2023 04:42 PM,technical_106166.pdf,1,336706,Lekh Ram,21-Mar-2023 10:53 AM,Rejected-Finance,Due to L5,29-Apr-2023,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender form cost and EMD indicated in schedule E.,Construction of link road from Chalama to Bharathu.,P/L G-1,Please refer Tender documents. ,NA ,"13,93,669",Civil Works - Roads,P/L G-1 ,Tender,75.0,60.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,09-Mar-2023 09:00 AM,22-Mar-2023 11:00 AM,09-Mar-2023 09:00 AM,22-Mar-2023 10:30 AM,NA ,NA ,09-Mar-2023 09:00 AM,22-Mar-2023 10:30 AM,31-Mar-2023 04:45 PM,1.0,ICICI BANK,Executive Engineer,"Division No.1, HPPWD Bilaspur",PWD,PW-BLP1-CB-eproc/22-19786-830 dt 16.2.23,2023_PWD_70451_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"28,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,336962,NARESH KUMAR,21-Mar-2023 05:18 PM,Rejected-Finance,Due to L8,29-Apr-2023,,,,,,,.pdf,Contractor Registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,337058,Pawan Kumar,22-Mar-2023 09:05 AM,Rejected-Technical,Due to Non submission of required work done,31-Mar-2023,,,,,,,.pdf,GST EPF and PAN Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,337066,Pawan Kumar,22-Mar-2023 08:25 AM,Rejected-Finance,Due to L3,29-Apr-2023,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,337126,Pradeep Kumar,22-Mar-2023 10:04 AM,Rejected-Finance,Due to L7,29-Apr-2023,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,335292,Ram Lal,20-Mar-2023 06:01 PM,Accepted-AOC,Due to L1,12-Jan-2024,,,,,,,.pdf,"Affidavit of machinery, tools and plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,336786,RISHAV KUMAR,21-Mar-2023 01:21 PM,Rejected-Finance,Due to L9,29-Apr-2023,,,,,,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,336745,SAURAV THAKUR,21-Mar-2023 09:37 PM,Rejected-Finance,Due to L2,29-Apr-2023,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,336809,SMP Group,21-Mar-2023 02:09 PM,Rejected-Finance,Due to L4,29-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,333972,SONU KUMAR,14-Mar-2023 10:01 AM,Rejected-Finance,Due to L6,29-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
