Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address
Technical,BOS,Jeet Singh Thakur,07-Feb-2023 03:22 PM,technical_101800.pdf,1.0,319996.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,04-Feb-2023 03:06 PM,Rejected-Finance,Being a 2nd lowest,20-Feb-2023,Finance,BOS,Jeet Singh Thakur,15-Feb-2023 12:32 PM,finance_101800.pdf,BOQ Comparative Chart,1.0,319914.0,Surinder Pal Dhall,INR,"9,584,692",16-Jan-2024,"INR 9,954,004",60.0,Rajeev Kumar,16-Jan-2024 03:46 PM,17867.pdf (926.00 KB),Annual Maintenance on Suri Kaila road Km. 0/0 to 2/0 and 5/540 to 9/540 for the year 2023-24 (SH P/L Bitumenous concrete),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,20-Feb-2023 07:26 PM,finsummary_101800.pdf (176.09 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,10-Feb-2023 06:54 PM,14-Feb-2023 11:30 AM,techsummary_101800.pdf (727.87 KB),PWD,2023_PWD_67579_1,No.PWC-WA-II- 16447-546 dated 20.01.2023,Annual Maintenance on Suri Kaila road Km. 0/0 to 2/0 and 5/540 to 9/540 for the year 2023-24 (SH P/L Bitumenous concrete),PWD,No.PWC-WA-II- 16447-546 dated 20.01.2023,2023_PWD_67579_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,99,100",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,27-Jan-2023 10:00 AM,07-Feb-2023 11:30 AM,27-Jan-2023 10:00 AM,06-Feb-2023 05:00 PM,NA ,NA ,27-Jan-2023 10:00 AM,06-Feb-2023 05:00 PM,14-Feb-2023 11:30 AM,1.0,ICICI BANK,Annual Maintenance on Suri Kaila road Km. 0/0 to 2/0 and 5/540 to 9/540 for the year 2023-24 (SH P/L Bitumenous concrete),Annual Maintenance on Suri Kaila road Km. 0/0 to 2/0 and 5/540 to 9/540 for the year 2023-24 (SH P/L Bitumenous concrete),Please refer Tender documents. ,NA ,"99,54,004",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba
,,,,,2.0,319914.0,Surinder Pal Dhall,04-Feb-2023 02:58 PM,Accepted-AOC,Work completed by the contractor and Earnest Money /FDR of the contractor may kindly be released,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof for the same",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.)in last five year,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,
