Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
23-Sep-2023 12:30 PM,06-Oct-2023 11:30 AM,23-Sep-2023 12:40 PM,06-Oct-2023 10:30 AM,23-Sep-2023 12:40 PM ,06-Oct-2023 09:00 AM ,23-Sep-2023 12:40 PM,06-Oct-2023 10:30 AM,12-Oct-2023 05:50 PM,R/R damages on Mari Ka Ghat Sultanpur road Km 0/0 to 16/0 (SH C/O PCC R/Wall at RD 7/910 to 7/930),R/R damages on Mari Ka Ghat Sultanpur road Km 0/0 to 16/0 (SH C/O PCC R/Wall at RD 7/910 to 7/930),Please refer Tender documents. ,NA ,"7,67,899",Civil Works - Roads,NA ,Tender,75.0,90.0,HPPWD Sarahan,173024.0,NA ,NA ,NA ,HPPWD Division Sarahan Sirmour,No ,No,EE HPPWD Sarahan,EE HPPWD SARAHAN,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,350.0,Nil,Nil,No,1.0,ICICI BANK,"15,500",No,fixed,,Nil,Nil,PWD,PW/SRN/CB/Tender/-5149-5199 dt22.09.23,2023_PWD_79244_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,376235.0,Jagmohan Singh,05-Oct-2023 05:08 PM,Rejected-Finance,L2,09-Nov-2023,Technical,SUMMARY,Daleep Singh Kaundal,12-Oct-2023 05:29 PM,technical_118139.pdf,1.0,376301.0,SANDEEP DUTT SHARMA,INR,"647,337",Finance,summary,Jai Lal Kanta,09-Nov-2023 10:31 AM,finance_118139.pdf,BOQ Comparative Chart,PWD,2023_PWD_79244_7,PW/SRN/CB/Tender/-5149-5199 dt22.09.23,R/R damages on Mari Ka Ghat Sultanpur road Km 0/0 to 16/0 (SH C/O PCC R/Wall at RD 7/910 to 7/930),Er Daleep Singh Kaundal,Internal,"Padam Bahadur Supdt Gr-ii, Kishan Singh DM",Daleep Singh Kaundal,12-Oct-2023 05:45 PM,12-Oct-2023 05:50 PM,techsummary_118139.pdf (110.66 KB),Er Daleep Singh Kaundal,Internal,"Sh Satish Sharma DAO, Sh Padam Bahadur Supdt.GR-II, Kishan Singh DM",Jai Lal Kanta,09-Nov-2023 11:12 AM,finsummary_118139.pdf (91.90 KB),29-Jan-2024,"INR 647,337",90.0,Jai Lal Kanta,29-Jan-2024 02:38 PM,79244_7.pdf (1119.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,376301.0,SANDEEP DUTT SHARMA,05-Oct-2023 05:40 PM,Accepted-AOC,Awarded,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS CONDITIONS CONTRACT CLAUSES Refer Gener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY TOOL PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
