Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.3,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name
Finance,Summary,Suresh Kaushal,12-Oct-2023 05:15 PM,,BOQ Comparative Chart,1.0,375983.0,RAKESH GOEL,INR,"51,047,337.3",Technical,Summary,Suresh Kaushal,09-Oct-2023 01:01 PM,,1.0,375983.0,RAKESH GOEL,06-Oct-2023 12:00 PM,Accepted-AOC,L1,02-Jan-2024,02-Jan-2024,"INR 51,047,337.3",365.0,Gobind Thakur,02-Jan-2024 05:00 PM,awarded.pdf (1009.00 KB),ER S.K. KAUSHAL,Internal,,Suresh Kaushal,16-Oct-2023 04:04 PM,finsummary_118396.pdf (547.63 KB),ER S.K. KAUSHAL,Internal,,Suresh Kaushal,12-Oct-2023 04:48 PM,12-Oct-2023 05:00 PM,techsummary_118396.pdf (1123.06 KB),PWD,2023_PWD_79429_1,MDII,"Construction of I.T.I. building at Kotli, Tehsil Kotli, Distt. Mandi H.P.","12,64,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money",1.0,Corrigendum,Date,,"5,000",Nil,Nil,Yes,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,"Construction of I.T.I. building at Kotli, Tehsil Kotli, Distt. Mandi H.P.",C/O building portion with W.S. AND S.I. and Rain water Harvesting System,Please refer Tender documents. ,NA ,"6,32,32,178",Civil Works,NA ,Tender,75.0,365.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,26-Sep-2023 06:55 PM,07-Oct-2023 11:30 AM,26-Sep-2023 06:55 PM,07-Oct-2023 11:00 AM,NA ,NA ,26-Sep-2023 06:55 PM,07-Oct-2023 11:00 AM,12-Oct-2023 05:00 PM,PWD,MDII,2023_PWD_79429_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,376526.0,Suket Construction Co. Pvt. Ltd.,06-Oct-2023 05:00 PM,Rejected-Finance,L4,16-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",2.0,Corrigendum,Other,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,3.0,375964.0,VIJAY KAPOOR CONSTRUCTIONS,06-Oct-2023 05:13 PM,Rejected-Finance,L3,16-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Card ,GST(General Rule No.21)",,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,375979.0,YOG RAJ SHARMA,06-Oct-2023 04:33 PM,Rejected-Finance,L2,16-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
