Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
24-Jan-2024,"INR 2,025,340",90.0,Suresh Kumar Walia,29-Jan-2024 02:16 PM,Award.pdf (283.00 KB),Award,Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,06-Jan-2024 04:35 PM,finsummary_123049.pdf (195.49 KB),Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,02-Jan-2024 12:25 PM,05-Jan-2024 11:00 AM,techsummary_123049.pdf (369.39 KB),PWD,2023_PWD_82714_2,Nagrota 15-12,"A/R and M/o to senior Boys hostel at Dr R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt Kangra (HP) (SH-Dismantling work, Floor tiles, wall tiles WS and SI etc)",Technical,sum,Suresh Kumar Walia,02-Jan-2024 12:24 PM,technical_123049.pdf,1.0,393848.0,MANJEET SINGH RANA,26-Dec-2023 08:54 AM,Rejected-Finance,Lowest 4,06-Jan-2024,1.0,393525.0,Puneet Khosla,INR,"1,452,574",Finance,sum,Suresh Kumar Walia,06-Jan-2024 04:33 PM,finance_123049.pdf,BOQ Comparative Chart,500.0,Nil,Nil,No,"A/R and M/o to senior Boys hostel at Dr R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt Kangra (HP) (SH-Dismantling work, Floor tiles, wall tiles WS and SI etc)","A/R and M/o to senior Boys hostel at Dr R.P. Govt. Medical College Tanda in Tehsil Nagrota Bagwan Distt Kangra (HP) (SH-Dismantling work, Floor tiles, wall tiles WS and SI etc)",Please refer Tender documents. ,NA ,"20,25,340",Civil Works,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,"40,550",No,fixed,,Nil,Nil,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,PWD,Nagrota 15-12,2023_PWD_82714_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,16-Dec-2023 11:00 AM,26-Dec-2023 11:30 AM,16-Dec-2023 11:00 AM,26-Dec-2023 10:00 AM,NA ,NA ,16-Dec-2023 11:00 AM,26-Dec-2023 10:00 AM,05-Jan-2024 11:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,393732.0,M/S Sanjay Garg,25-Dec-2023 11:18 PM,Rejected-Finance,Lowest 5,06-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,393525.0,Puneet Khosla,23-Dec-2023 03:28 PM,Accepted-AOC,L1,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,392930.0,Rana,23-Dec-2023 02:26 PM,Rejected-Finance,Lowest 6,06-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that the information submitted with bid namely ( ) are true and correct,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,392380.0,Saini,21-Dec-2023 04:11 PM,Rejected-Finance,Lowest 2,06-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,393924.0,SHUBHAM RANA,26-Dec-2023 09:45 AM,Rejected-Finance,Lowest 7,06-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,392887.0,VENYA CONSTRUCTIONS AND SUPPLIER,23-Dec-2023 02:03 PM,Rejected-Finance,Lowest 3,06-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,
