Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2022-23 Rural road Link road Kholi to Lower Kholi (HP0406VR132) km.0/0 to 0/400,(SH - P/L 30mm Thick bituminous concrete in km.0/0 to 0/400),Please refer Tender documents. ,NA ,"5,23,161",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),Er. Sushil Kumar Dhadwal,"Executive Engineer, HPPWD, Division, Kangra",1.0,ICICI BANK,350.0,Nil,Nil,No,12-Aug-2022 09:00 AM,23-Aug-2022 11:00 AM,12-Aug-2022 09:00 AM,23-Aug-2022 10:30 AM,NA ,NA ,12-Aug-2022 10:00 AM,23-Aug-2022 10:30 AM,26-Aug-2022 12:00 PM,"10,500",No,fixed,,Nil,Nil,PWD,5581-5630 dt.3.8.2022,2022_PWD_63503_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Er. Sushil Kumar Dhadwal,Internal,"Divisional Head Draughtsman, HPPWD, Kangra, Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra",Sushil Kumar Dhadwal,26-Aug-2022 11:46 AM,26-Aug-2022 12:00 PM,techsummary_95722.pdf (855.00 KB),PWD,2022_PWD_63503_1,5581-5630 dt.3.8.2022,Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2022-23 Rural road Link road Kholi to Lower Kholi (HP0406VR132) km.0/0 to 0/400,29-Jan-2024,"INR 523,161",30.0,Sushil Kumar Dhadwal,29-Jan-2024 11:43 AM,Award.pdf (2281.00 KB),Award,Er. Sushil Dhadwal,Internal,A.E. Kangra Sr. DAO Kangra DHD Kangra Supdt. Kangra,Sushil Kumar Dhadwal,29-Jan-2024 11:32 AM,finsummary_95722.pdf (380.93 KB),1.0,296243.0,Chamunda Construction Works,20-Aug-2022 10:05 AM,Accepted-AOC,Award,30-Jan-2024,Technical,Summary,Sushil Kumar Dhadwal,26-Aug-2022 11:42 AM,technical_95722.pdf,1.0,296243.0,Chamunda Construction Works,INR,"526,107",Finance,Summary,Sushil Kumar Dhadwal,29-Jan-2024 11:20 AM,finance_95722.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,296435.0,NAVNEET SHARMA,22-Aug-2022 01:53 PM,Rejected-Finance,Rate quoted higher side of L1,29-Jan-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
