EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"53,400",No,fixed,,Nil,Nil,PWD,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,2023_PWD_80699_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),27-Oct-2023 11:00 AM,06-Nov-2023 11:00 AM,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,NA ,NA ,27-Oct-2023 11:00 AM,04-Nov-2023 06:00 PM,28-Nov-2023 03:25 PM,Executive Engineer,HPPWD Division Kotkhai,"1,500",Nil,Nil,No,1.0,ICICI BANK,"R/R Damages on Galeha Govindpur road in K.m. 0/00 to 11/00, C/o, R/Wall in PCC and wire crate at R.D. 5/985 to 6/015","R/R Damages on Galeha Govindpur road in K.m. 0/00 to 11/00, C/o, R/Wall in PCC and wire crate at R.D. 5/985 to 6/015",Please refer Tender documents. ,NA ,"26,66,615",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Finance,Summary Uplaoaded,Vinod Shyam,01-Dec-2023 01:54 PM,finance_120168.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,28-Nov-2023 03:22 PM,28-Nov-2023 03:25 PM,techsummary_120168.pdf (5230.44 KB),Technical,SUMMARY UPLOADED,Akhil Chauhan,28-Nov-2023 03:20 PM,technical_120168.pdf,1.0,382393.0,HPPWD,04-Nov-2023 04:17 PM,Accepted-AOC,lowest Bidder to awarded the work,30-Jan-2024,29-Jan-2024,"INR 2,666,615",45.0,Vinod Shyam,29-Jan-2024 02:58 PM,1.pdf (845.00 KB),1.0,382393.0,HPPWD,INR,"2,759,145",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Cont.",Vinod Shyam,01-Dec-2023 01:59 PM,finsummary_120168.pdf (189.37 KB),PWD,2023_PWD_80699_12,PW-KD-E-Tender/2023-24-4656-60 dated 23-10-2023,"R/R Damages on Galeha Govindpur road in K.m. 0/00 to 11/00, C/o, R/Wall in PCC and wire crate at R.D. 5/985 to 6/015"
,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382450.0,Ramesh Kumar Ranaik,04-Nov-2023 03:28 PM,Rejected-Finance,L2 BIDDER,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
