S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Bank Name
1.0,266206.0,R.G. INDUSTRIES,INR,"540,729,915",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2022_HPIPH_56191_1,3157-3206,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Chamba,ENC P JSV Mandi,Internal,CEPMU CE DZ SE DZ EE PMU EE ENCP EE PIU DZ ACFand A,Virender Thakur,03-Jan-2024 11:06 AM,finsummary_84462.pdf (2579.85 KB),ENC P JSV Mandi,Internal,CE PMU Mandi CE DZ Dharamshala SE Chamba SE PMU SE ENC P EE ENC P EE PMU EE Dalhousie Dy Controller,Suresh Mahajan,11-Jul-2022 11:22 AM,11-Jul-2022 11:25 AM,techsummary_84462.pdf (8125.37 KB),1.0,266591.0,A V RAMBABU INFRA PRIVATE LIMITED,24-Feb-2022 06:46 PM,Rejected-Finance,Not Eligible,03-Jan-2024,Finance,Financial Evaluation report,Vivek Hazri,03-Jan-2024 10:53 AM,finance_84462.pdf,BOQ Comparative Chart,Technical,TBER,Suresh Mahajan,11-Jul-2022 11:19 AM,technical_84462.pdf,03-Jan-2024,"INR 540,729,915",730.0,Virender Thakur,03-Jan-2024 11:07 AM,Award.pdf (2580.00 KB),AOC,"40,16,010",Yes,fixed,,CE PMU Mandi,Mandi,1.0,Corrigendum 2,BOQ,,Chief Engineer PMU JSV Mandi,Chief Engineer PMU JSV Mandi,"2,500",CE PMU Mandi,Mandi,No,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Chamba,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Chamba,as per tender documents ,NA ,"40,16,00,000",Civil Works,NA ,Tender,180.0,730.0,Chamba,176310.0,Mandi ,Chief Engineer PMU JSV Mandi ,08-Feb-2022 03:00 PM ,Chief Engineer PMU JSV Mandi,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender form Cost,28-Jan-2022 06:00 PM,25-Feb-2022 03:30 PM,28-Jan-2022 06:30 PM,25-Feb-2022 03:00 PM,NA ,NA ,17-Feb-2022 10:00 AM,25-Feb-2022 03:00 PM,11-Jul-2022 11:25 AM,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,3157-3206,2022_HPIPH_56191_1,Yes,Global Tenders,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,2.0,265374.0,M/s GCKC PROJECTS and WORKS PVT LTD,25-Feb-2022 02:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum 3,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money / Bid security,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,3.0,266206.0,R.G. INDUSTRIES,25-Feb-2022 01:34 PM,Accepted-AOC,Accepted,03-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Pre bid response,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST EPF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,266164.0,Unipro Techno Infrastructure Pvt Ltd,24-Feb-2022 05:10 PM,Rejected-Finance,Not Eligible,03-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover of last 3 years,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary evidence in accordance with ITB 14,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Written confirmation authorizing the signatory in accordance to ITB 22.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking that I have studied all the terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Technical bid,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical proposal in accordance with ITB 17,,,,,,,,,,,,,,,,,,,,,,,,,
