S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,384163.0,SHIVAM,INR,"1,859,863.59",Finance,BOQ Summary,Devi Ram Chauhan,30-Jan-2024 11:46 AM,finance_120806.pdf,BOQ Comparative Chart,Technical,Technical BID Summary,Devi Ram Chauhan,17-Nov-2023 11:04 AM,technical_120806.pdf,1.0,384302.0,DEVENDER SINGH,15-Nov-2023 01:40 PM,Rejected-Finance,Being L4,30-Jan-2024,30-Jan-2024,"INR 1,859,863.59",365.0,Devi Ram Chauhan,30-Jan-2024 11:56 AM,AOC.pdf (423.00 KB),Award Letter,EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,30-Jan-2024 11:51 AM,finsummary_120806.pdf (191.39 KB),EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,17-Nov-2023 01:51 PM,17-Nov-2023 02:00 PM,techsummary_120806.pdf (587.84 KB),PWD,2023_PWD_81140_1,PW-NCD-TA-NIQ-Tender-2023- 10162-92 dt. 03-11-2023,Construction of Ayurvedic Health Centre Building at Lohakhar Distt. Mandi (HP),500.0,Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW-NCD-TA-NIQ-Tender-2023- 10162-92 dt. 03-11-2023,2023_PWD_81140_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,05-Nov-2023 06:15 PM,16-Nov-2023 11:30 AM,05-Nov-2023 06:15 PM,15-Nov-2023 05:00 PM,NA ,NA ,05-Nov-2023 06:15 PM,15-Nov-2023 05:00 PM,17-Nov-2023 02:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (Separately),"49,000",No,fixed,,Nil,Nil,Construction of Ayurvedic Health Centre Building at Lohakhar Distt. Mandi (HP),"Construction of Building portion with W.S. and S.I., Septic Tank, Development of site etc.",Please refer Tender documents. ,NA ,"24,34,376",Civil Works,NA ,Tender,90.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No
,,,,,,,,,,,,,,,,2.0,384330.0,PUSHAP RAJ,15-Nov-2023 03:45 PM,Rejected-Finance,Being L5,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money (Separately),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,384151.0,RAMESH KUMAR,14-Nov-2023 02:58 PM,Rejected-Finance,Being L2,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,384214.0,SHEHWAJ KHAN,15-Nov-2023 11:45 AM,Rejected-Finance,Being L3,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,384163.0,SHIVAM,15-Nov-2023 03:06 PM,Accepted-AOC,Being L1,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,
