Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
16-Jan-2024,"INR 1,573,967",60.0,Dalip Singh Tomar,16-Jan-2024 11:24 AM,aoc.pdf (1170.00 KB),AOC,Er. D.S. Tomar,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Sh. Dev Raj JDM",Dalip Singh Tomar,16-Jan-2024 11:19 AM,finsummary_108398.pdf (1169.87 KB),Er. D. S. Tomar,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,19-Apr-2023 04:59 PM,19-Apr-2023 05:00 PM,techsummary_108398.pdf (780.48 KB),PWD,2023_PWD_72030_3,Tender/2023-24- 83-132 dated 04.04.2023,Construction of link road to Harizan Basti Khairni km. 00 to 5/0 (SH-Providing and laying Metalling and tarring in km. 1/500 to 3/0)Under S.C.S.P.,Technical,Bid Opening Summary,Dalip Singh Tomar,19-Apr-2023 04:55 PM,technical_108398.pdf,1.0,342309.0,ASLAM,16-Apr-2023 11:47 PM,Accepted-AOC,Work Completed,03-Feb-2024,1.0,342309.0,ASLAM,INR,"1,650,146",Finance,Fin Bid Opening Summary,Dalip Singh Tomar,16-Jan-2024 11:10 AM,finance_108398.pdf,BOQ Comparative Chart,1.0,ICICI BANK,"31,100",No,fixed,,Nil,Nil,07-Apr-2023 04:25 PM,17-Apr-2023 11:00 AM,07-Apr-2023 05:00 PM,17-Apr-2023 10:30 AM,NA ,NA ,07-Apr-2023 05:00 PM,17-Apr-2023 10:30 AM,19-Apr-2023 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and Earnest money as per NIT.,500.0,Nil,Nil,No,Construction of link road to Harizan Basti Khairni km. 00 to 5/0 (SH-Providing and laying Metalling and tarring in km. 1/500 to 3/0)Under S.C.S.P.,Construction of link road to Harizan Basti Khairni km. 00 to 5/0 (SH-Providing and laying Metalling and tarring in km. 1/500 to 3/0)Under S.C.S.P.,Please refer tender document ,NA ,"15,73,967",Civil Works - Roads,NA ,Tender,75.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),PWD,Tender/2023-24- 83-132 dated 04.04.2023,2023_PWD_72030_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342361.0,Bhupender Chauhan,17-Apr-2023 09:00 AM,Rejected-Technical,Not Qualified,19-Apr-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Copy of Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342304.0,FAREED HASHMI,16-Apr-2023 03:36 PM,Rejected-Finance,L4,16-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Registration, Permanent account number and EPF number.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,342299.0,IQUBAL,16-Apr-2023 11:18 PM,Rejected-Finance,L2,16-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 24.5 duly signed by the concerned officer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,342000.0,M/S SARVJEET SINGH,17-Apr-2023 08:42 AM,Rejected-Technical,Not Qualified,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,342286.0,Nazar Ali,16-Apr-2023 03:05 PM,Rejected-Finance,L3,16-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correct duly attested by the Notary/Executive Magistrate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HMP Plant should be in the radius of 25 km from the Execution of site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
