Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.3,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
29-Jan-2024,"INR 18,698,783",540.0,Suresh Kumar Walia,27-Mar-2024 11:50 AM,Award.pdf (1075.00 KB),Award,Executive Engineer,Internal,AE DAO SUpdt HDM,Suresh Kumar Walia,19-Jan-2024 11:35 AM,finsummary_121500.pdf (193.32 KB),Superintending Engineer,Internal,"Supdt G-II W/S, CHD 5th Circle Palampur, EE Tanda , EE( D) 5th Circle Palampur",Suresh Kumar Walia,16-Dec-2023 02:29 PM,19-Dec-2023 11:30 AM,techsummary_121500.pdf (1073.97 KB),PWD,2023_PWD_81666_1,NABARDXXIX-Nagrota,Balance work and Metalling and Tarring of Mumta Bhadrehar road Km 0/000 to 1/852 in Distt Kangra (HP) Under NABARD (RIDF- XXIX),Finance,sum,Suresh Kumar Walia,19-Jan-2024 11:34 AM,finance_121500.pdf,BOQ Comparative Chart,1.0,387972.0,Nageshwer Mankotia,INR,"20,884,060",1.0,Corrigendum,Corrigendum,15-Dec-2023 03:53 PM,DOC121523-12152023154251.pdf ,370.3,Technical Opening,Technical,sum,Suresh Kumar Walia,16-Dec-2023 02:26 PM,technical_121500.pdf,1.0,388215.0,Kesari Ent.,06-Dec-2023 04:57 PM,Rejected-Technical,Document not received as per requirement,16-Dec-2023,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6,Superintending Engineer,O/o SE 5th HPPWD Circle Palampur,"5,000",Nil,Nil,No,Balance work and Metalling and Tarring of Mumta Bhadrehar road Km 0/000 to 1/852 in Distt Kangra (HP) Under NABARD (RIDF- XXIX),"Formation cutting, Passing places, Retaining walls, Cross-Drainage work, Granular Sub Base, WBM-II WBM-III, Tarring work, road side drain, Parapets etcetera including routine maintenance for the year after completion of construction work",Please refer Tender documents. ,NA ,"1,99,50,993",Civil Works - Roads,NA ,Tender,75.0,540.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o SE 5th HPPWD Circle Palampur,No ,No,25-Nov-2023 10:00 AM,08-Dec-2023 11:30 AM,25-Nov-2023 10:00 AM,06-Dec-2023 05:00 PM,NA ,NA ,25-Nov-2023 10:00 AM,06-Dec-2023 05:00 PM,19-Dec-2023 11:30 AM,1.0,ICICI BANK,PWD,NABARDXXIX-Nagrota,2023_PWD_81666_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"3,99,050",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,387972.0,Nageshwer Mankotia,05-Dec-2023 10:19 PM,Accepted-AOC,Award,27-Mar-2024,,,.pdf,Cost of Tender form as per Section -1 Point No. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,387725.0,Pritam Singh Thakur,05-Dec-2023 09:57 PM,Rejected-AOC,Lowest 2,27-Mar-2024,,,.pdf,Bid Security as per section -2 clause-16.1(on line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,387887.0,TANUJ SHARMA,06-Dec-2023 04:01 PM,Rejected-Technical,Document not received as per requirement,16-Dec-2023,,,.pdf,Registration as per Q. 1-Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.3.1) (1.3.2)(1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1. as per section -3 ( 1.4) alongwith documents i.e. Bill, R.C etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.6) (1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.2) (1.7) (1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section-2 clause ( 4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Others documents i.e. G.S.T., PAN,EPF , Address of Bank etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
