Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Executive Engineer,Internal,EAI SUPDT HDM,Gurminder Singh,06-Sep-2023 03:58 PM,finsummary_116087.pdf (593.60 KB),17-Jan-2024,"INR 37,693,065",365.0,Gurminder Singh,17-Jan-2024 11:39 AM,AOC.PDF (111.00 KB),AOC,PWD,2023_PWD_77714_1,PW/NBT/CB/Tender/23/4270-73 dated 16.08.2023,Construction of Balance work of 317.50 meter span pre-stressed concrete bridge at Bagchhal over Govind Sagar Reservoir in Distt Bilaspur (HP),Executive Engineer,Internal,EAI SUPDT HDM,Gurminder Singh,31-Aug-2023 11:47 AM,06-Sep-2023 11:30 AM,techsummary_116087.pdf (1707.17 KB),Finance,Financial Bid Open Summary,Gurminder Singh,06-Sep-2023 03:56 PM,,BOQ Comparative Chart,1.0,368117.0,ajay handa,INR,"29,568,450",Technical,Technical Bid open summary,Gurminder Singh,31-Aug-2023 11:45 AM,,1.0,368117.0,ajay handa,26-Aug-2023 09:43 AM,Accepted-AOC,Due to L1,30-Jan-2024,"7,54,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Balance work of 317.50 meter span pre-stressed concrete bridge at Bagchhal over Govind Sagar Reservoir in Distt Bilaspur (HP),"Road widening at RD 9/0 to 10/810 on Swarghat side approach of Bagchhal Bridge, P/L Granluar Sub Base, WMM, DBM, 40mm thick BC on both side approaches of Bagchhal Bridge, Provision of R/wall, B/wall Parapets, U-shape drain on both side approaches",Refer in SABD ,NA ,"3,76,93,065",Civil Works,NA ,Tender,75.0,365.0,Bilaspur,174001.0,NA ,NA ,NA ,EE Bilaspur Division No. 2 HPPWD Bilaspur,No ,No,EE Bilaspur Division No. 2 HPPWD Bilaspur,EE Bilaspur Division No. 2 HPPWD Bilaspur,PWD,PW/NBT/CB/Tender/23/4270-73 dated 16.08.2023,2023_PWD_77714_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money,19-Aug-2023 10:00 AM,26-Aug-2023 11:30 AM,19-Aug-2023 10:00 AM,26-Aug-2023 11:00 AM,NA ,NA ,19-Aug-2023 10:00 AM,26-Aug-2023 11:00 AM,06-Sep-2023 11:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,367946.0,Ankit Garg,25-Aug-2023 12:47 PM,Rejected-Technical,Non-Responsive,31-Aug-2023,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration GST, PAN and EPF",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,368427.0,Manohar Lal,25-Aug-2023 08:31 PM,Rejected-Finance,Due to L3,06-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by EE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,368355.0,mast ram,26-Aug-2023 10:21 AM,Rejected-Finance,Due to L2,06-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, Tool, Plant and technical staff employed",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,368443.0,M/S SUKHDEV SHARMA CONTRACTOR,25-Aug-2023 06:42 PM,Rejected-Finance,Due to L4,06-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Financial turn over civil construction works, profit and loss statement during last five years duly",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bank credit Certificate not more than 3 month old,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek references from the Bidders bankers,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information regarding litigation and arbitration during the last five years,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of No-relation in HPPWD department,,,,,,,,,
