Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Link road to village Chanjuin Km. 0/0 to 1/750 Formation cutting in Km.1/0 to 1/360),Construction of Link road to village Chanjuin Km. 0/0 to 1/750 Formation cutting in Km.1/0 to 1/360),Please refer Tender documents. ,NA ,"11,95,924",Civil Works,NA ,Tender,75.0,120.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division,No ,No,23-Sep-2021 06:00 PM,30-Sep-2021 11:30 AM,23-Sep-2021 06:00 PM,29-Sep-2021 05:00 PM,NA ,NA ,23-Sep-2021 06:00 PM,29-Sep-2021 05:00 PM,03-Nov-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,No.PWC-WA-II- 7945-8044 dated 13-9-21,2021_PWD_52632_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"24,000",No,fixed,,Nil,Nil,Executive Engineer Chamba Division,Executive Engineer Chamba Division,Finance,BOS,Jeet Singh Thakur,07-Jul-2022 07:50 PM,finance_78687.pdf,BOQ Comparative Chart,1.0,238544.0,Vishav Dev Sharma,INR,"2,057,683",1.0,237957.0,BABITA DEVI GOVT CONTRACTOR,25-Sep-2021 04:12 PM,Rejected-Finance,being 2nd lowest,07-Jul-2022,Technical,BOS,Jeet Singh Thakur,29-Oct-2021 05:10 PM,technical_78687.pdf,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,29-Oct-2021 05:12 PM,03-Nov-2021 11:30 AM,techsummary_78687.pdf (203.07 KB),PWD,2021_PWD_52632_1,No.PWC-WA-II- 7945-8044 dated 13-9-21,Construction of Link road to village Chanjuin Km. 0/0 to 1/750 Formation cutting in Km.1/0 to 1/360),16-Jan-2024,"INR 1,195,924",120.0,Rajeev Kumar,16-Jan-2024 12:42 PM,14532.pdf (883.00 KB),Construction of Link road to village Chanjuin Km. 0/0 to 1/750 Formation cutting in Km.1/0 to 1/360),EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,07-Jul-2022 07:58 PM,finsummary_78687.pdf (96.29 KB)
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,238544.0,Vishav Dev Sharma,29-Sep-2021 08:07 AM,Accepted-AOC,Work completed by the contractor in all respect and Earnest Money/FDR may kindly be released,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
