S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,382076.0,RAJIV SHARMA GOVT CONTRACT SERVICE,INR,"734,467",Finance,Technical Evaluation Summary,Arun Vashisht,16-Nov-2023 05:43 PM,finance_120064.pdf,BOQ Comparative Chart,Technical,Technical Evaluation summary,Arun Vashisht,16-Nov-2023 12:28 PM,technical_120064.pdf,1.0,381580.0,Ashna Ventures (OPC) Pvt. Ltd.,30-Oct-2023 04:46 PM,Rejected-Finance,being a highest bidder,08-Jan-2024,EE Dehra,Internal,Susdt HDM DOA,Gurvachan Singh,08-Jan-2024 12:02 PM,finsummary_120064.pdf (253.12 KB),08-Jan-2024,"INR 895,541",30.0,Gurvachan Singh,08-Jan-2024 12:13 PM,Rajeev.pdf (926.00 KB),work awarded issued,PWD,2023_PWD_80633_1,EE Dehra letter No.8734-40 dt.13.10.2023,Construction of Link road from Main road to Ram Swaroop House G.P. Sakri Km. 0/0 to 0/500,EE Dehra,Internal,DOA Dehra Superintendent Dehra HDM Dehra XEN Dehra,Arun Vashisht,16-Nov-2023 12:41 PM,16-Nov-2023 01:00 PM,techsummary_120064.pdf (353.83 KB),PWD,EE Dehra letter No.8734-40 dt.13.10.2023,2023_PWD_80633_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,Construction of Link road from Main road to Ram Swaroop House G.P. Sakri Km. 0/0 to 0/500,"Formation Cutting, P/L GSB and C/o 3.00mtr Span RCC Slab culvert alongwith wing wall at RD 0/045",Please referred to tender documents  ,NA ,"9,43,326",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"19,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,1.0,ICICI BANK,26-Oct-2023 10:00 AM,03-Nov-2023 11:30 AM,26-Oct-2023 10:00 AM,02-Nov-2023 06:00 PM,NA ,NA ,26-Oct-2023 10:00 AM,02-Nov-2023 06:00 PM,16-Nov-2023 01:00 PM
,,,,,,,,,,,,,,,,2.0,381907.0,national traders,02-Nov-2023 01:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Nov-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,2.0,ICICI NEFT/RTGS,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,382076.0,RAJIV SHARMA GOVT CONTRACT SERVICE,02-Nov-2023 02:05 PM,Accepted-AOC,work awarded,08-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,382100.0,Sandeep Mehra,02-Nov-2023 04:18 PM,Rejected-Finance,being a highest bidder,08-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,381131.0,shushil kumar sharma govt contractor,27-Oct-2023 03:33 PM,Rejected-Finance,being a highest bidder,08-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.0,382122.0,SUVIJAY SAGAR,02-Nov-2023 05:55 PM,Rejected-Finance,being a highest bidder,08-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,
