Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,16486-16536 dated 26.10.2023,2023_PWD_80802_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,30-Oct-2023 06:55 PM,10-Nov-2023 11:00 AM,30-Oct-2023 06:55 PM,09-Nov-2023 06:55 PM,NA ,NA ,30-Oct-2023 06:55 PM,09-Nov-2023 06:55 PM,18-Nov-2023 11:30 AM,Executive Engineer,Shimla Rural Division Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender/The Earnest Money (Indicated In Schedule F),"5,000",Nil,Nil,No,Construction of Science Lab of Govt. Sr. Secondary School Building at Ogli Tehsil Sunni District Shimla,"Construction of Building Portions, providing and fixing W.S and S I construction of Septic Tank, Rain Water harvesting Tank and Site Development).",As per Tender documents ,NA ,"1,81,25,636",Civil Works - Buildings,NIL ,Tender,75.0,365.0,Dhami,171011.0,NA ,NA ,NA ,Dhami,No ,No,"3,62,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,382248.0,MUNISH SHARMA,08-Nov-2023 07:08 PM,Accepted-AOC,AOC,04-Jan-2024,Technical,Bid opening summary,Naveen Singh Kaundal,17-Nov-2023 05:12 PM,technical_120313.pdf,1.0,382248.0,MUNISH SHARMA,INR,"14,591,137",Finance,Finance Bid opening summary,Naveen Singh Kaundal,30-Nov-2023 05:02 PM,finance_120313.pdf,BOQ Comparative Chart,Er Rajesh Aggarwal,Internal,"Supdt.Gr-II,HDM,Sr.DAO",Naveen Singh Kaundal,17-Nov-2023 05:33 PM,18-Nov-2023 11:30 AM,techsummary_120313.pdf (165.32 KB),PWD,2023_PWD_80802_1,16486-16536 dated 26.10.2023,Construction of Science Lab of Govt. Sr. Secondary School Building at Ogli Tehsil Sunni District Shimla,04-Jan-2024,"INR 18,125,636",365.0,Naveen Singh Kaundal,04-Jan-2024 02:17 PM,OglisciencelabAOC.pdf (315.00 KB),AOC,Er Rajesh Aggarwal,Internal,"Supdt.Gr-II,Sr.DAO,HDM",Naveen Singh Kaundal,01-Dec-2023 06:02 PM,finsummary_120313.pdf (122.85 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,382517.0,PRAHLAD SING NEGI,07-Nov-2023 09:46 PM,Rejected-Finance,Being higher than L-1 bidder,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,382218.0,Rajesh Kumar Sharma,09-Nov-2023 09:37 AM,Rejected-Finance,Being higher than L-1 bidder,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as Per General Rule 26.2.b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,383504.0,Sandeep Chandel,09-Nov-2023 06:46 PM,Rejected-Finance,Being higher than L-1 bidder,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand in accordance with General Rule 24.5 strictly as per schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,383405.0,Vijay Sharma,09-Nov-2023 08:16 AM,Rejected-Finance,Being higher than L-1 bidder,01-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Skilled/Semi Skilled Tradsmen as per Clause of 19k of GCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
