Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
Executive Engineer,Jal Shakti Division No-I Kasumpati Shimla-,400.0,EE Jal Shakti Division No-I,Kasumpti Shimla,No,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",Kasumpti/Shimla/Shilli Baggi/ 19.49,2023_HPIPH_81195_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"34,950",Yes,fixed,,EE Jal Shakti Division No-I,Kasumpti Shimla,1.0,Fee/PreQual/Technical,.pdf,tender Fee as per NIT,07-Nov-2023 05:00 PM,17-Nov-2023 11:30 AM,07-Nov-2023 05:00 PM,16-Nov-2023 05:00 PM,NA ,NA ,07-Nov-2023 05:00 PM,16-Nov-2023 05:00 PM,15-Dec-2023 12:25 PM,Restoration of rain damages of FIS Shilli Baggi in G.P.Baggi Tehsil and Distt.Shimla.HP.(SH-C/O C.C.Channel and retaining wall for the protection of channel).,.,Please refer Tender documents. ,NA ,"19,49,949",Civil Works - Water Works,NA ,Rate Contract,120.0,90.0,Shimla,171009.0,NA ,NA ,NA ,Kasumpti Shimla,No ,No,1.0,ICICI BANK,EE,Internal,,Basant Singh Rathour,30-Dec-2023 11:59 AM,finsummary_120877.pdf (21.42 KB),1.0,384525.0,Manohar Singh,INR,"1,163,128","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",2023_HPIPH_81195_1,Kasumpti/Shimla/Shilli Baggi/ 19.49,Restoration of rain damages of FIS Shilli Baggi in G.P.Baggi Tehsil and Distt.Shimla.HP.(SH-C/O C.C.Channel and retaining wall for the protection of channel).,03-Jan-2024,"INR 1,994,949",90.0,Basant Singh Rathour,03-Jan-2024 04:18 PM,AOC.pdf (1185.00 KB),Finance,Financial bid summary,Basant Singh Rathour,15-Dec-2023 01:09 PM,finance_120877.pdf,BOQ Comparative Chart,Technical,technical bid summary,Basant Singh Rathour,17-Nov-2023 12:59 PM,technical_120877.pdf,EE,Internal,,Basant Singh Rathour,15-Dec-2023 12:20 PM,15-Dec-2023 12:25 PM,techsummary_120877.pdf (904.34 KB),1,384611,Ashok Kumar Thakur,16-Nov-2023 02:19 PM,Rejected-Finance,L9,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,384538,CONTRACTOR,16-Nov-2023 12:22 PM,Rejected-Technical,Not eligible,15-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,384494,HARSHIT SHARMA,16-Nov-2023 01:54 PM,Rejected-Finance,L7,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card and GSTIn as per NIt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,384497,kamal kumar,16-Nov-2023 11:20 AM,Rejected-Finance,L6,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other document required as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,384606,kirpa ram govt. contractor,16-Nov-2023 02:12 PM,Rejected-Finance,L10,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,384449,Kuldeep Kumar Thakur,16-Nov-2023 03:03 PM,Rejected-Finance,L2,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,384525,Manohar Singh,16-Nov-2023 01:24 PM,Accepted-AOC,L1,03-Jan-2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,384174,MANOJ THAKUR,16-Nov-2023 01:41 PM,Rejected-Finance,L4,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,384359,NEERO DEVI,15-Nov-2023 05:39 PM,Rejected-Finance,L3,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,384398,Parmod Kumar Thakur,15-Nov-2023 10:55 PM,Rejected-Finance,L8,30-Dec-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,384550,Rajesh Thakur,16-Nov-2023 12:33 PM,Rejected-Finance,L5,30-Dec-2023
