EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"1,55,700",Yes,fixed,,Nil,Nil,"2,000",Nil,Nil,Yes,Balance work of 24.00 mtr. span (Double lane) Bridge over Raghwanu Khad on Mandi Rewalsar Kalkhar road km 8/140 in Distt. Mandi H.P. (MDR-026) Job No. CRF-HP-2017-18-132.,C/O Super -structure,Please refer Tender documents. ,NA ,"77,81,871",Civil Works,NA ,Tender,75.0,180.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,02-Sep-2023 05:00 PM,10-Sep-2023 11:30 AM,02-Sep-2023 05:00 PM,10-Sep-2023 11:00 AM,NA ,NA ,02-Sep-2023 05:00 PM,10-Sep-2023 11:00 AM,23-Sep-2023 11:00 AM,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,II. Scanned copy of the Receipt Bid Security cost of the bidding documents. clause 16.2 of ITB.,PWD,MDII-,2023_PWD_78347_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Finance,Summary,Bhupender Sharma,12-Oct-2023 05:00 PM,,BOQ Comparative Chart,1.0,370651.0,SOHAN LAL,INR,"7,377,213.71",1.0,369846.0,Rajesh Kaplex,05-Sep-2023 10:53 PM,Rejected-Finance,L2,12-Oct-2023,Technical,Summary,Bhupender Sharma,18-Sep-2023 10:42 AM,,ER SK KAUSHAL,Internal,,Bhupender Sharma,22-Sep-2023 04:52 PM,23-Sep-2023 11:00 AM,techsummary_116857.pdf (809.05 KB),PWD,2023_PWD_78347_1,MDII-,Balance work of 24.00 mtr. span (Double lane) Bridge over Raghwanu Khad on Mandi Rewalsar Kalkhar road km 8/140 in Distt. Mandi H.P. (MDR-026) Job No. CRF-HP-2017-18-132.,06-Jan-2024,"INR 7,377,213.71",180.0,Gobind Thakur,06-Jan-2024 03:13 PM,24mtr.pdf (853.00 KB),ER SK KAUSHAL,Internal,,Bhupender Sharma,12-Oct-2023 05:07 PM,finsummary_116857.pdf (199.15 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Scanned copy of the Authorized address and Mobile No. and e- mail ID,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,370651.0,SOHAN LAL,09-Sep-2023 09:29 AM,Accepted-AOC,L1,06-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,V. Scanned copy of the affidavit affirming that information he has furnished in the bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,370593.0,SUNIL THAKUR,08-Sep-2023 04:13 PM,Rejected-Finance,L3,12-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"I. Form of bid for Part I,II of the bid, as per format given in section 6 (to be submitted online).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate from Chartered Accountant for last five financial years with breakup of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Participants must have Bridge Work Done Certificate Works in hand (Clause 4.6 (a) as per format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration certificate (Clause 3 of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries owned/brought on hire/ lease (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form of bid for Technical Qualification Part I of the bid, as per format given in Section 6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities (Clause 4.4of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
