EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"16,450",No,fixed,,Nil,Nil,Construction of Link road to village Chanjuin Km. 0/0 to 1/750 (SH Formation cutting in Km1/360 to 1/750),Construction of Link road to village Chanjuin Km. 0/0 to 1/750 (SH Formation cutting in Km1/360 to 1/750),Please refer Tender documents. ,NA ,"8,20,393",Civil Works,NA ,Tender,90.0,90.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,No.PWC-WA-II- 7945-8044 dated 13-9-21,2021_PWD_52632_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,23-Sep-2021 06:00 PM,30-Sep-2021 11:30 AM,23-Sep-2021 06:00 PM,29-Sep-2021 05:00 PM,NA ,NA ,23-Sep-2021 06:00 PM,29-Sep-2021 05:00 PM,03-Nov-2021 11:30 AM,1.0,ICICI BANK,350.0,Nil,Nil,No,Executive Engineer Chamba Division,Executive Engineer Chamba Division,Finance,BOS,Jeet Singh Thakur,06-Jul-2022 07:49 PM,finance_78691.pdf,BOQ Comparative Chart,1.0,238538.0,Vishav Dev Sharma,INR,"1,590,046",1.0,237961.0,BABITA DEVI GOVT CONTRACTOR,25-Sep-2021 04:30 PM,Rejected-Finance,L2,06-Jul-2022,Technical,Bid opening Summary,Jeet Singh Thakur,29-Oct-2021 05:14 PM,technical_78691.pdf,PWD,2021_PWD_52632_2,No.PWC-WA-II- 7945-8044 dated 13-9-21,Construction of Link road to village Chanjuin Km. 0/0 to 1/750 (SH Formation cutting in Km1/360 to 1/750),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,29-Oct-2021 05:16 PM,03-Nov-2021 11:30 AM,techsummary_78691.pdf (204.23 KB),ee,Internal,Assistant engineer superintendent and senior assistant,Jeet Singh Thakur,06-Jul-2022 07:51 PM,finsummary_78691.pdf (196.11 KB),16-Jan-2024,"INR 820,393",90.0,Rajeev Kumar,16-Jan-2024 12:38 PM,14539.pdf (884.00 KB),Construction of Link road to village Chanjuin Km. 0/0 to 1/750 (SH Formation cutting in Km1/360 to 1/750)
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,2.0,238538.0,Vishav Dev Sharma,29-Sep-2021 08:39 AM,Accepted-AOC,Work completed by the contractor in all respect and Earnest Money/FDR may kindly be released,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
