S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,376062.0,Ashok Kumar,INR,"3,796,586.04",Finance,Attached,Sanjay Katoch,21-Dec-2023 07:46 PM,finance_118570.pdf,BOQ Comparative Chart,Technical,Attached,Sanjay Katoch,07-Oct-2023 05:23 PM,technical_118570.pdf,1.0,376062.0,Ashok Kumar,04-Oct-2023 08:20 PM,Accepted-AOC,l1,11-Jan-2024,11-Jan-2024,"INR 3,796,586",90.0,Sanjay Katoch,11-Jan-2024 03:08 PM,letter1.pdf (620.00 KB),Award,EE Hamirpur,Internal,,Sanjay Katoch,21-Dec-2023 07:50 PM,finsummary_118570.pdf (453.72 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Oct-2023 12:32 PM,23-Oct-2023 11:00 AM,techsummary_118570.pdf (925.91 KB),PWD,2023_PWD_79568_1,link road from Rail to Putrail,Co link road from Rail to Putrail km 00 to 3 0,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"1,000",Nil,Nil,No,EE Hamirpur,Executive Engineer HPPWD Division Hamirpur,"61,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,Co link road from Rail to Putrail km 00 to 3 0,SH Co Rwall at RD 1 075 Edge wall at RD 2 0 to 2 020 LHS and 1 315 to 1 340 and 1 625 to 1 637 both side and 1 646 to 1 656 both side V Shape drain at RD 1 120 to 1 300 1 400 to 1 495 1 735 to 1 755 RHS 2 120 to 2 300 CC Pavement at RD 1 135 to 1 15,Please refer Tender documents. ,NA ,"36,24,426",Civil Works,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,link road from Rail to Putrail,2023_PWD_79568_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,30-Sep-2023 06:00 PM,06-Oct-2023 11:30 AM,30-Sep-2023 06:00 PM,06-Oct-2023 10:30 AM,NA ,NA ,30-Sep-2023 06:00 PM,06-Oct-2023 10:30 AM,23-Oct-2023 11:00 AM
,,,,,,,,,,,,,,,,2.0,376008.0,KARUN KUMAR,05-Oct-2023 02:13 PM,Rejected-Technical,Rejectcted,21-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,376103.0,Mohit,05-Oct-2023 07:34 AM,Rejected-Finance,l3,21-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,376084.0,Mukesh,04-Oct-2023 09:52 PM,Rejected-Finance,l2,21-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and ECR statement latest Clearance Statement with Monthly contribution Chal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
