Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
24-Nov-2023 09:00 AM,01-Dec-2023 11:00 AM,24-Nov-2023 09:00 AM,30-Nov-2023 05:00 PM,NA ,NA ,24-Nov-2023 09:00 AM,30-Nov-2023 05:00 PM,02-Dec-2023 03:00 PM,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,1.0,Fee/PreQual/Technical,.pdf,Contractors registration,PWD,11945-984,2023_PWD_81738_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,ICICI BANK,Construction of Kala Manch/Stage Ambedkar Ground at Panchrukhi Tehsil Palampur Distt. Kangra (HP),"Sub Head C/O Kala Manch / Stage including Ws,SI and Septic Tank-Deposit.",Please refer Tender documents. ,NA ,"37,79,902",Civil Works - Buildings,NA ,Tender,75.0,180.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"75,600",No,fixed,,Nil,Nil,Er. Vijay Kumar Verma,Internal,"Divisional Superintendent, Divisional Accountant and Divisional Head Draughtsman of HPPWD Divn. Jaisinghpur",Vijay Kumar Verma,02-Dec-2023 01:28 PM,02-Dec-2023 03:00 PM,techsummary_121584.pdf (291.51 KB),PWD,2023_PWD_81738_1,11945-984,Construction of Kala Manch/Stage Ambedkar Ground at Panchrukhi Tehsil Palampur Distt. Kangra (HP),12-Jan-2024,"INR 2,984,988",180.0,Vijay Kumar Verma,24-Jan-2024 11:41 AM,817381AmbedkarG.pdf (725.00 KB),Shri Vijay Rana R/O Rakkar,Er. Vijay Kumar Verma,Internal,"Supdt. Gr-II, Divisional Accountant and HDM of HPPWD Division Jaisinghpur",Vijay Kumar Verma,11-Dec-2023 02:55 PM,finsummary_121584.pdf (291.51 KB),Finance,As per document attached,Vijay Kumar Verma,02-Dec-2023 05:20 PM,finance_121584.pdf,BOQ Comparative Chart,1.0,386537.0,VIJAY RANA,INR,"2,984,988",1.0,386925.0,Ashish Chauhan,30-Nov-2023 04:17 PM,Rejected-Finance,Higher Bidder,11-Dec-2023,Technical,As per document attached,Vijay Kumar Verma,02-Dec-2023 01:22 PM,technical_121584.pdf
,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,386912.0,TANUJ SHARMA,30-Nov-2023 04:52 PM,Rejected-Finance,Higher Bidder,11-Dec-2023,,,,,
,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386537.0,VIJAY RANA,29-Nov-2023 03:21 PM,Accepted-AOC,L1,30-Jan-2024,,,,,
,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Work in Hand detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit/List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
