Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,No.PWD.WA-II-16339-438 dated 19.1.23,2023_PWD_67426_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, Chamba Division, HPPWD Chamba","Executive Engineer, Chamba Division, HPPWD Chamba",1.0,Earnest money,Fee,,"2,000",Nil,Nil,No,23-Jan-2023 10:00 AM,02-Feb-2023 11:30 AM,23-Jan-2023 10:00 AM,01-Feb-2023 05:00 PM,NA ,NA ,23-Jan-2023 10:00 AM,01-Feb-2023 05:00 PM,08-Feb-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,"90,725",No,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Baat to Sail via Kuruntu road Km. 0/0 to 21/800 (SH Formation cutting in Km. 0/o to 1/800),Construction of Baat to Sail via Kuruntu road Km. 0/0 to 21/800 (SH Formation cutting in Km. 0/o to 1/800),Please refer Tender documents. ,NA ,"45,35,166",Civil Works,NA ,Tender,75.0,180.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division, HPPWD Chamba",No ,No,1.0,318927.0,Dheeraj Badyal Govt Contractor,INR,"3,174,616",Finance,BOS,Jeet Singh Thakur,11-Feb-2023 11:04 AM,finance_101619.pdf,BOQ Comparative Chart,1,319175,Asavari Mahajan,01-Feb-2023 02:05 PM,Rejected-Finance,8th lowest,24-Feb-2023,Technical,BOS,Jeet Singh Thakur,02-Feb-2023 06:30 PM,technical_101619.pdf,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,04-Feb-2023 05:13 PM,08-Feb-2023 11:30 AM,techsummary_101619.pdf (477.66 KB),PWD,2023_PWD_67426_3,No.PWD.WA-II-16339-438 dated 19.1.23,Construction of Baat to Sail via Kuruntu road Km. 0/0 to 21/800 (SH Formation cutting in Km. 0/o to 1/800),18-Jan-2024,"INR 4,535,167",180.0,Rajeev Kumar,18-Jan-2024 03:44 PM,17995-18001AOC.pdf (862.00 KB),Construction of Baat to Sail via Kuruntu road Km. 0/0 to 21/800 (SH Formation cutting in Km. 0/o to 1/800),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,24-Feb-2023 11:52 AM,finsummary_101619.pdf (1138.14 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,319164,Dhananjay Singh Barotra,01-Feb-2023 01:59 PM,Rejected-Finance,7th lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,318927,Dheeraj Badyal Govt Contractor,01-Feb-2023 10:34 AM,Accepted-AOC,Work has been completed by the Contractor and the Earnest Money /FDR may kindly be released,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,319093,Manesh Mehta,01-Feb-2023 01:33 PM,Rejected-Technical,Non responsive,04-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,318106,Mukesh Kuamr,01-Feb-2023 10:12 AM,Rejected-Finance,5th lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,319288,MUNISH KUMAR,01-Feb-2023 04:22 PM,Rejected-Finance,11th lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,316585,NADEEM ALI SHAH,27-Jan-2023 06:46 PM,Rejected-Finance,2nd lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,317013,Pardeep Sharma,01-Feb-2023 11:45 AM,Rejected-Finance,3rd lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,319213,PAVINDER THAKUR,01-Feb-2023 03:35 PM,Rejected-Finance,9th lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,319260,Shalini Govt Contractor,01-Feb-2023 04:00 PM,Rejected-Finance,10th lowest,24-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
