S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",9427-9526 Dt. 18-11-2023,2023_HPIPH_81563_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Providing irrigation facility to various village of Renuka ji Constituency under IPH SubDivision Sangarh by constructing rain water harvesting structure water bodies,SH CO RCC Dam at village Sangna Satahan Barbed wire fencing wire crate work Head weir JE Qtr for section Rajana providing laying jointing of MSERW scour pipe and laying jointing of GMS pipe line in distribution system for village Satahan sangna gatta,Please refer Tender documents. ,NA ,"2,00,45,305",Civil Works,NA ,Tender,120.0,120.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,Jal Shakti Division Nohradhar,Executive Engineer Jal Shakti Division Nohradhar,18-Nov-2023 05:00 PM,29-Nov-2023 12:30 PM,20-Nov-2023 10:00 AM,29-Nov-2023 11:30 AM,NA ,NA ,20-Nov-2023 11:00 AM,29-Nov-2023 11:30 AM,22-Dec-2023 04:40 PM,"2,500",Jal Shakti Division Nohradhar,Nohradhar,No,1.0,Fee/PreQual/Technical,.pdf,bid security duly pledged in favor of Executive Engineer JSD Nohradhar as mentioned NIT,"2,33,000",Yes,fixed,,Jal Shakti Division Nohradhar,Nohradhar,Er.Rajeev Mahajan SE,Internal,Supdtt W/S CHD JE D AE D EE NOhradhar EE D,Munish Sharma,23-Jan-2024 10:24 AM,finsummary_121370.pdf (2331.18 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2023_HPIPH_81563_1,9427-9526 Dt. 18-11-2023,Providing irrigation facility to various village of Renuka ji Constituency under IPH SubDivision Sangarh by constructing rain water harvesting structure water bodies,1.0,386371.0,RAM KISHAN CHANDEL,INR,"14,869,109.88",Er.Munish Sharma EE,Internal,TA HDM Supdtt.Gr-II DAO,Munish Sharma,22-Dec-2023 04:37 PM,22-Dec-2023 04:40 PM,techsummary_121370.pdf (507.76 KB),1.0,386453.0,akash,29-Nov-2023 10:54 AM,Rejected-Finance,Reject,23-Jan-2024,23-Jan-2024,"INR 20,045,305",120.0,Munish Sharma,24-Jan-2024 11:05 AM,AWARD3.pdf (735.00 KB),Award to Contractor,Finance,Financial Summary,Munish Sharma,22-Dec-2023 05:06 PM,finance_121370.pdf,BOQ Comparative Chart,Technical,Technical Summary,Munish Sharma,22-Dec-2023 04:32 PM,technical_121370.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid form as shown above shall be submitted online as per online payment as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385248.0,ANKUSH KUMAR,28-Nov-2023 01:38 PM,Rejected-Finance,Reject,23-Jan-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration with Jal Shakti Vibhag in appropriate classas mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386076.0,KULDEEP SHARMA,28-Nov-2023 03:57 PM,Rejected-Finance,Reject,23-Jan-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of certificate of EPF registration, PAN Card and GST registration as mentioned NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,386371.0,RAM KISHAN CHANDEL,29-Nov-2023 10:16 AM,Accepted-AOC,AOC,03-Feb-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding Joint venture is not allowed mentioning of the work with date as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,386361.0,SANDEEP RATHAUR,28-Nov-2023 05:02 PM,Rejected-Finance,Reject,23-Jan-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied all the TermConditions stipulated in the mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,385481.0,Sh. Mohar Singh,28-Nov-2023 04:12 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Dec-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bid for job shall only accepted if the contractor successfully completed works as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit mentioning name of the work with date specifying the benefit availed under mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking mentioning name the work with date that will comply with the provision mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
