Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
XEN HP.PWD SARAHAN,EE HPPWD Sarahan,PWD,PW/SRN/CB/Tender/-23-14918-48 dated 14/03/2023,2023_PWD_70993_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/O SDM residence Type IV Quarter building at Sarahan in tehsil Pachhad Distt. Sirmour (SH C/O Civil works, WS SI C/O Septic tank , Rain harvesting system site Development etc.)","C/O SDM residence Type IV Quarter building at Sarahan in tehsil Pachhad Distt. Sirmour (SH C/O Civil works, WS SI C/O Septic tank , Rain harvesting system site Development etc.)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,HPPWD Sarahan,173024.0,NA ,NA ,NA ,HPPWD Division Sarahan Sirmour,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"95,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,ICICI BANK,17-Mar-2023 09:50 AM,22-Mar-2023 11:30 AM,17-Mar-2023 10:00 AM,22-Mar-2023 10:30 AM,NA ,NA ,17-Mar-2023 10:05 AM,22-Mar-2023 10:30 AM,29-Mar-2023 10:00 AM,1.0,337121.0,ABHAY CHAUHAN,22-Mar-2023 10:01 AM,Accepted-AOC,Awarded,03-Feb-2024,Technical,SUMMARY,Jai Lal Kanta,28-Mar-2023 06:13 PM,technical_106951.pdf,1.0,337121.0,ABHAY CHAUHAN,INR,"4,393,084",Finance,SUMMARY,Jai Lal Kanta,01-Apr-2023 10:53 AM,finance_106951.pdf,BOQ Comparative Chart,PWD,2023_PWD_70993_3,PW/SRN/CB/Tender/-23-14918-48 dated 14/03/2023,"C/O SDM residence Type IV Quarter building at Sarahan in tehsil Pachhad Distt. Sirmour (SH C/O Civil works, WS SI C/O Septic tank , Rain harvesting system site Development etc.)",Er V.K Aggarwal,Internal,"Sh Rajiv Sharma Supdt, Sh Pawan Kumar Sr. Asstt. Smt Neelam JDM",Jai Lal Kanta,28-Mar-2023 06:57 PM,29-Mar-2023 10:00 AM,techsummary_106951.pdf (446.23 KB),Er V.K Aggarwal,Internal,"Sh Rajiv Sharma Supdt, Sh Pawan Kumar Sr. Asstt. Smt Neelam JDM",Jai Lal Kanta,01-Apr-2023 11:41 AM,finsummary_106951.pdf (135.83 KB),31-Jan-2024,"INR 4,393,084",270.0,Jai Lal Kanta,01-Feb-2024 06:16 PM,SDM.pdf (230.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,336860.0,BHARDWAJ CONSTRUCTIONS,21-Mar-2023 07:10 PM,Rejected-Finance,L3,01-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,3.0,336806.0,H.N.Bhardwaj,21-Mar-2023 02:32 PM,Rejected-Finance,L4,01-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,4.0,336951.0,Niom Infra Private Ltd,21-Mar-2023 07:03 PM,Rejected-Finance,L2,01-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY TOOL , PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
