Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address
Er. B. M. Thakur,Internal,"EE Jaisinghpur, EE(D), CHD, Supdt. works O/o the SE 5th Circle HP PWD Palampur",Vijay Kumar Verma,10-Jan-2024 06:14 PM,finsummary_121910.pdf (343.65 KB),12-Jan-2024,"INR 54,016,935",550.0,Vijay Kumar Verma,12-Jan-2024 05:22 PM,AOCBahruKulvinderRana.pdf (878.00 KB),Shri Kulvinder Singh Rana R/O Dagoh,PWD,2023_PWD_81971_1,J/pur14804-14,Balance work of Bahru Nadli Gharchindi Malli Road (Portion Nadli To Malli) Km 0/0 to 7/250,"Er. B.M. Thakur, S.E.",Internal,"Supdt. Gr-II (WS) CHD, EE(D) all of 5th Circle HPPWD Palampur and EE Jaisinghpur",Vijay Kumar Verma,29-Dec-2023 02:21 PM,03-Jan-2024 11:30 AM,techsummary_121910.pdf (1079.57 KB),Technical,As per document attached,Vijay Kumar Verma,29-Dec-2023 02:11 PM,technical_121910.pdf,1.0,393583.0,G.P.ACHARYA,26-Dec-2023 03:19 PM,Rejected-Finance,L2,10-Jan-2024,Finance,As per document attached,Vijay Kumar Verma,08-Jan-2024 05:41 PM,finance_121910.pdf,BOQ Comparative Chart,1.0,387617.0,Kulvinder Singh Rana,INR,"54,016,935",1.0,Corrigendum,Date,,Balance work of Bahru Nadli Gharchindi Malli Road (Portion Nadli To Malli) Km 0/0 to 7/250,"SH- C/O Formation Cutting, C/O Passing places, R/wall, Cross drainage work, GSB, WBM-II, WBM-III,Tarring work, CC Pavement, Side Drain , parapets and road side furniture including R/M for five years after completion of construction work",Please refer Tender documents. ,NA ,"7,01,09,495",Civil Works,NA ,Tender,75.0,550.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Palmapur,No ,No,"5,000",Nil,Nil,No,PWD,J/pur14804-14,2023_PWD_81971_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6.,04-Dec-2023 10:00 AM,27-Dec-2023 11:30 AM,04-Dec-2023 10:00 AM,26-Dec-2023 05:00 PM,NA ,NA ,04-Dec-2023 10:00 AM,26-Dec-2023 05:00 PM,03-Jan-2024 11:30 AM,"14,03,000",No,fixed,,Nil,Nil,Superintending Engineer,"Superintending Engineer, 5th circle HP PWD Palampur"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,387617.0,Kulvinder Singh Rana,26-Dec-2023 04:46 PM,Accepted-AOC,Due to lowest bidder,12-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Bid Security as per Section-2 Cl-16.1 and cost of tender form (online),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4) along with documents i.e. bills, RCs etc",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.9)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 3(1.10),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 C l 4.4B(a), (c)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,
