Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Bank Name
09-Jan-2024,"INR 2,274,538",30.0,Manish Sehgal,09-Jan-2024 09:50 AM,Monika236.pdf (2361.00 KB),estimated cost,Executive Engineer,Internal,"Supdt Gr. II, DAO,DHD,AE",Manish Sehgal,04-Jan-2024 11:53 AM,finsummary_122664.pdf (922.02 KB),Executive Engineer,Internal,"Supdt, DAO DHD AE",Manish Sehgal,26-Dec-2023 05:06 PM,26-Dec-2023 05:10 PM,techsummary_122664.pdf (1082.18 KB),PWD,2023_PWD_82475_1,10143-48 dated 30/11/2023,Construction of link road Harizan Basti to Ward No.3 Patta in Tehsil Ghumarwin Distt. bilaspur (H.P),Finance,Bid summary,Manish Sehgal,04-Jan-2024 11:42 AM,finance_122664.pdf,BOQ Comparative Chart,1.0,392812.0,MONIKA KUMARI,INR,"1,985,215",Technical,Technical bid evlovation,Manish Sehgal,26-Dec-2023 05:02 PM,technical_122664.pdf,1,388754,Amar Singh,09-Dec-2023 04:25 PM,Rejected-Finance,L4,04-Jan-2024,"41,700",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules),1.0,Date extended,Date,,08-Dec-2023 05:00 PM,20-Dec-2023 11:00 AM,08-Dec-2023 05:00 PM,20-Dec-2023 10:30 AM,NA ,NA ,08-Dec-2023 05:00 PM,20-Dec-2023 10:30 AM,26-Dec-2023 05:10 PM,500.0,Nil,Nil,No,Executive Engineer,HP.PWD Ghumarwin Division,PWD,10143-48 dated 30/11/2023,2023_PWD_82475_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road Harizan Basti to Ward No.3 Patta in Tehsil Ghumarwin Distt. bilaspur (H.P),Construction of link road Harizan Basti to Ward No.3 Patta in Tehsil Ghumarwin Distt. bilaspur (H.P) C/o 4.00 mtrs span Culvert,please refer tender documents ,NA ,"22,74,538",Civil Works,Roads ,Tender,75.0,30.0,Ghumarwin,174021.0,HP.PWD Ghumarwin Division ,HP.PWD Ghumarwin Division ,15-Dec-2023 10:00 AM ,HP.PWD Ghumarwin Division,No ,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,391538,Ashok Kumar,15-Dec-2023 08:38 PM,Rejected-Finance,L6,04-Jan-2024,,,,,,,,,.pdf,Contr Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,391368,Babli Gautam,15-Dec-2023 01:57 PM,Rejected-Finance,L3,04-Jan-2024,,,,,,,,,.pdf,"GST No ,Pan No. and EPF No(General Rules No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,392812,MONIKA KUMARI,20-Dec-2023 10:03 AM,Accepted-AOC,L1,09-Jan-2024,,,,,,,,,.pdf,Work Done for last 05years and work in Hand Certi dully signed by concerned. Autho/EE (Gen. Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,391342,MUKESH,15-Dec-2023 01:26 PM,Rejected-Finance,L10,04-Jan-2024,,,,,,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,391346,RAKESH KUMAR,15-Dec-2023 01:19 PM,Rejected-Finance,L11,04-Jan-2024,,,,,,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,391461,ROHAN KARTIK MAHAJAN,15-Dec-2023 07:15 PM,Rejected-Finance,L7,04-Jan-2024,,,,,,,,,.pdf,All GCC will be applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,391321,Sada Nand,15-Dec-2023 07:16 PM,Rejected-Finance,L8,04-Jan-2024,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,391509,Sanak Kumar Shukla,15-Dec-2023 07:08 PM,Rejected-Finance,L2,04-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,391325,Satish Kumar,15-Dec-2023 12:52 PM,Rejected-Finance,L9,04-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
