Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
PWD,ED.II.GA.Tender/23-24-1501-02 dated 14.06.2023,2023_PWD_74991_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Construction of Rajsav Sadan at Reckong Peo Distt Kinnaur SH Prov EI therein,Providing Electrical installation,Please refer Tender documents. ,NA ,"10,30,113",Electrical Works,NA ,Tender,120.0,365.0,Reckong Peo,172017.0,NA ,NA ,NA ,Elect Divn No II HPPWD Shimla-1,No ,No,XEN Elect Divn NO II,XEN Elect Division No II HPPWD Shimla-1,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of online payment copy of tender form and EMD,15-Jun-2023 05:00 PM,22-Jun-2023 11:30 AM,15-Jun-2023 05:30 PM,21-Jun-2023 05:00 PM,NA ,NA ,15-Jun-2023 05:30 PM,21-Jun-2023 05:00 PM,1.0,ICICI BANK,"20,700",No,fixed,,Nil,Nil,EE,Internal,SUPDTT HDM DAO,Sanjeev Thakur,06-Jan-2024 02:56 PM,techsummary_112335.pdf (186.48 KB),PWD,2023_PWD_74991_1,ED.II.GA.Tender/23-24-1501-02 dated 14.06.2023,Construction of Rajsav Sadan at Reckong Peo Distt Kinnaur SH Prov EI therein,Finance,2Nos bids has been opened on 24.06.2023 for financial part in which Rajesh Kumar Jaswal found L1,Sanjeev Thakur,24-Jun-2023 12:40 PM,finance_112335.pdf,BOQ Comparative Chart,06-Jan-2024,"INR 1,030,113",365.0,Sanjeev Thakur,06-Jan-2024 03:12 PM,AL.pdf (827.00 KB),Award letter,EE,Internal,SUPDTT HDM DAO,Sanjeev Thakur,06-Jan-2024 02:59 PM,finsummary_112335.pdf (186.47 KB),1.0,355493.0,Rajesh Kumar Jaswal,INR,"1,079,146",1.0,355493.0,Rajesh Kumar Jaswal,20-Jun-2023 09:11 PM,Accepted-AOC,Lowest bidder,06-Jan-2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355322.0,SHARMA ELECTRICAL CO.,19-Jun-2023 05:27 PM,Rejected-Finance,2nd lowest bidder,06-Jan-2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate as per tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking affidavit of true and correct information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid electrical enlistment in HPPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Current work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
