S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Auction Initiated Status :,Reason :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Corrigendum No.3 TE CE(MM)12/2023,Date,,"1,180",Nil,Nil,No,"4,71,000",Yes,fixed,,Nil,Nil,1.0,Fee,.pdf,Prooof of tender fee,procurement of ISI marked AAAC conductor of assorted sizes,procurement of ISI marked AAAC conductor of assorted sizes,As per NIT ,"EMD for HP local units registered with HPSEBL is Rs.2,21,000.00 and for other bidders is Rs.4,71,000.00 ","4,71,00,000",Electrical Work/ Equipment,conductor ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"O/o Chief Engineer (MM), Vidyut Bhawan, Shimla -",No ,No,Chief Engineer (MM),"Chief Engineer (MM), HPSEBL, Vidyut Bhawan, Shimla-4",1.0,ICICI BANK,HPSEBL,CE(MM)-12/2023,2023_HPSEB_76781_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,27-Jul-2023 10:00 AM,24-Aug-2023 04:00 PM,27-Jul-2023 11:00 AM,24-Aug-2023 11:00 AM,NA ,NA ,27-Jul-2023 11:00 AM,24-Aug-2023 11:00 AM,01-Sep-2023 12:00 PM,Chief Engineer,Internal,Sr. Executive Engineer III Assistant Engineer III,Suraj Pandey,31-Jan-2024 12:43 PM,finsummary_114761.pdf (301.68 KB),1.0,363964.0,Himachal Aluminium and Conductors,INR,"21,529,420",HPSEBL,2023_HPSEB_76781_1,CE(MM)-12/2023,procurement of ISI marked AAAC conductor of assorted sizes,1.0,363964.0,Himachal Aluminium and Conductors,04-Aug-2023 10:31 AM,Accepted-AOC,Falls under order preference as per NIT,03-Feb-2024,Sr. Executive Engineer III,Internal,"Assistant Engineer, Junior Engineer",Suraj Pandey,31-Aug-2023 02:38 PM,01-Sep-2023 12:00 PM,techsummary_114761.pdf (432.46 KB),Technical,Technical bid opening summary TE 1202023,Suraj Pandey,24-Aug-2023 04:54 PM,technical_114761.pdf,Finance,Auto Opened,Suraj Pandey,01-Sep-2023 12:22 PM,,Yes,To proceed further for Auction process as per NIT,BOQ Comparative Chart,31-Jan-2024,"INR 43,937,629",180.0,Suraj Pandey,31-Jan-2024 12:55 PM,Awardsummary122023AAAC.pdf (302.00 KB),02Nos purchase order issued to the firms M/s Mahavir Transmission Ltd. Himachal Al and Conductor on dated 05.12.2023
,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,364011.0,Mahavir Transmission Limited,INR,"22,408,209",,,,,2.0,364011.0,Mahavir Transmission Limited,03-Aug-2023 12:34 PM,Accepted-AOC,Quoted L-I rates,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS, ISO certificate, GST registration certificate, undertaking regarding e-reverse Auction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"Bal. sheet and 3 three years turn over duly certified by CA, PAN Card copy,ITR GST clearance certif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
