EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"10,64,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,C/o /Extension of Heeru Dushalan road upto Village Gamru and Chohla Km. 0/0 to 2/620 including bridge over Churan Khad,"SH - C/o 40.00mtr span bridge, Formation cutting, passing place, R/walls, Cross drainage works, P/L GSB, WBM-II, WBM-III ,Metalling and Tarring, CCpavement, road side drain and Parapets ).(Under NABARD RIDF-XXIX)",Please refer Tender documents. ,NA ,"5,32,22,930",Civil Works,NA ,Tender,75.0,550.0,Dharamshala,176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6.,"5,000",Nil,Nil,No,PWD,dshala NABARD 10779-89,2023_PWD_81399_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,20-Nov-2023 10:00 AM,04-Dec-2023 11:00 AM,20-Nov-2023 10:00 AM,02-Dec-2023 05:00 PM,NA ,NA ,20-Nov-2023 10:00 AM,02-Dec-2023 05:00 PM,08-Dec-2023 11:00 AM,Superintending Engineer,"Superintending Engineer, 5th Circle HP PWD Palampur",1.0,386888.0,RAMESH CHAND CHOPRA AND SONS,02-Dec-2023 11:38 AM,Accepted-AOC,L1,03-Feb-2024,Technical,As per document attached,Jagtar Singh Thakur,06-Dec-2023 12:30 PM,technical_121162.pdf,Finance,As per document attached,Jagtar Singh Thakur,08-Dec-2023 11:45 AM,finance_121162.pdf,BOQ Comparative Chart,1.0,386888.0,RAMESH CHAND CHOPRA AND SONS,INR,"55,605,845",Er. B. M. Thakur,Internal,"Executive Engineer HP PWD Division Dharamshala, EE (D), CHD, Supdt. G - II WS 5th circle HP PWD Palampur",Jagtar Singh Thakur,06-Dec-2023 12:36 PM,08-Dec-2023 11:00 AM,techsummary_121162.pdf (1046.64 KB),PWD,2023_PWD_81399_1,dshala NABARD 10779-89,C/o /Extension of Heeru Dushalan road upto Village Gamru and Chohla Km. 0/0 to 2/620 including bridge over Churan Khad,23-Jan-2024,"INR 53,222,930",550.0,Jagtar Singh Thakur,01-Feb-2024 06:05 PM,Awardletter.pdf (270.00 KB),SE 5th Circle Palampur,Internal,"EE HPPWD Dharamshala,EE(D), CHD,Supdt G-II work section",Jagtar Singh Thakur,04-Jan-2024 05:28 PM,finsummary_121162.pdf (190.58 KB)
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender and Bid Security as per Section-2 Cl-16.1 (online),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,387117.0,Rohit,02-Dec-2023 12:09 PM,Rejected-Finance,Higher Bidder,04-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4) along with documents i.e. bills, RCs etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 3(1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl 4.4B(a), (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid for Part-II of the Bid as per Section-6 a/w item rates offered by the Employer for R.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
