EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"11,47,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,22-Nov-2023 10:30 AM,28-Nov-2023 11:00 AM,22-Nov-2023 10:30 AM,28-Nov-2023 10:30 AM,NA ,NA ,22-Nov-2023 10:30 AM,28-Nov-2023 10:30 AM,11-Dec-2023 11:30 AM,"5,000",Nil,Nil,No,PWD,Construction of link road from Purli to Village Ra,2023_PWD_81673_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of document of online payment on account of Bid documents as per section 1(2),Construction of link road from Purli to Village Rangriyan-Di-Dhar road in Km. 0/00 to 4/515,"F/C 5/7 mtr. Wide,R/walls, breast walls, Meetalling Tarring, Cross drainage, V-shape drain, Parapets, Dumping site, Stone in Km. 0/00 to 4/515) (RIDF-XXIX) (UNDER NABARD) (Including 5 years of routine maintenance)",Please refer Tender documents. ,NA ,"5,73,66,411",Civil Works - Roads,NA ,Tender,75.0,730.0,Tauni Devi,177023.0,NA ,NA ,NA ,Tauni Devi,No ,No,Executive Engineer,HPPWD Division Tauni Devi,1.0,385785.0,Anil Thakur,28-Nov-2023 10:15 AM,Rejected-Finance,L2,11-Dec-2023,Technical,Technical evaluation summary,Arvind Lakhanpal,07-Dec-2023 02:48 PM,,Finance,Fbid summary,Arvind Lakhanpal,11-Dec-2023 03:28 PM,finance_121512.pdf,BOQ Comparative Chart,1.0,386081.0,ASHOK KUMAR THAKUR GOVT CONTRACTOR,INR,"42,789,925",PWD,2023_PWD_81673_1,Construction of link road from Purli to Village Ra,Construction of link road from Purli to Village Rangriyan-Di-Dhar road in Km. 0/00 to 4/515,EXECUTIVEENGINEER,Internal,SupdtDAOHDMAE,Arvind Lakhanpal,07-Dec-2023 02:55 PM,11-Dec-2023 11:30 AM,techsummary_121512.pdf (1225.58 KB),EXECUTIVEENGINEER,Internal,SupdtDAOHDMAE,Arvind Lakhanpal,11-Dec-2023 03:41 PM,finsummary_121512.pdf (615.29 KB),11-Jan-2024,"INR 42,789,925",730.0,Arvind Lakhanpal,11-Jan-2024 04:55 PM,AOC81673.pdf (1699.00 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Certificate Legal Status as per ITB Section 2 4.2 (a),,,,,,,,,,,,,,,,,,,,,2.0,386081.0,ASHOK KUMAR THAKUR GOVT CONTRACTOR,27-Nov-2023 08:48 PM,Accepted-AOC,AOC,11-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of document of online payment on account of Bid security as per section 1,,,,,,,,,,,,,,,,,,,,,3.0,385954.0,DEEPAK JOSHI,25-Nov-2023 05:21 PM,Rejected-Finance,L3,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid registration under Labour licence EPF miscellaneous Provision Act 1952 ITB sec. 2 (4.1,,,,,,,,,,,,,,,,,,,,,4.0,385641.0,PARDEEP KUMAR GOVT. CONTRACTOR,27-Nov-2023 10:30 AM,Rejected-Finance,L4,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) and Psrt-II as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Reports on the financial standing such as Profit and Loss statements for past 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical person qualification as clause 4.2 (e) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity for minimum 75 days after last date of submission of technical bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of qualification as per section 2 of ITB Form 4.2 (a) to (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bank Credit certificate facilities(10 percent of the contract value)(not more than 3 months old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate on simple paper that Employer may seek information from bidder banker with bank name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of qualification information as per Section 3 from 1.1 to 1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Hot mix plant with in radius of 25 Km. from const. site along with pollution clearance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
