Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name
01-Jan-2024,"INR 8,527,177.6",90.0,Vipul Punj,01-Jan-2024 11:43 AM,Award2.pdf (1367.00 KB),Executive Engineer,Internal,"AE Gagagl, Shahpur, Sr. Assistant Shahpur Division",Vipul Punj,01-Jan-2024 11:40 AM,finsummary_103719.pdf (878.66 KB),Er. Rajeev Sharma,Internal,"Er. Vipul Punj A.E. Shahpur, Er. Vivek kalia A.E. Gaggal, Sh. Anurag Sharma Sr. Asstt.",Rajeev Kumar,27-Feb-2023 02:11 PM,28-Feb-2023 11:00 AM,techsummary_103719.pdf (866.73 KB),PWD,2023_PWD_68764_3,7025-84 dated 04-02-2023,Periodic Maintenance for Ranital to 32 mile (Kotla) road under AMP District Kangra for the Year 2023-2024 MDR (HP0423MDR088),Technical,Summary,Rajeev Kumar,27-Feb-2023 02:07 PM,technical_103719.pdf,1.0,325944.0,rajat thakur govt contractor,20-Feb-2023 06:23 PM,Rejected-Finance,Highest rate,01-Jan-2024,1.0,325409.0,Rakesh Mahajan Govt Contractor,INR,"8,327,327",Finance,EE AE Shahapur Gaggal Sr Assistant Division Shahpur,Vipul Punj,01-Jan-2024 11:35 AM,,BOQ Comparative Chart,Periodic Maintenance for Ranital to 32 mile (Kotla) road under AMP District Kangra for the Year 2023-2024 MDR (HP0423MDR088),"SH- P/L 30mm Thick Bituminous Concrete laying with Paver Finisher in km 18/0 to 19/0, 19/0 to 20/0 and 20/0 to 21/0.",Please refer Tender documents. ,NA ,"79,61,754",Civil Works,NA ,Tender,120.0,90.0,Works,176206.0,NA ,NA ,NA ,"Executive Engineer HPPWD., Shahpur Division",No ,No,"2,000",Nil,Nil,No,"Executive Engineer HPPWD., Shahpur Division","Executive Engineer HPPWD., Shahpur Division",14-Feb-2023 10:00 AM,21-Feb-2023 10:30 AM,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,NA ,NA ,14-Feb-2023 10:00 AM,21-Feb-2023 10:00 AM,28-Feb-2023 11:00 AM,"1,59,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),PWD,7025-84 dated 04-02-2023,2023_PWD_68764_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325409.0,Rakesh Mahajan Govt Contractor,19-Feb-2023 04:34 PM,Accepted-AOC,lowest,01-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP installed within 25 Kms from site of work,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,
