Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,Executive Engineer B and R Division HPPWD Solan,near new bus stand Solan,1.0,ICICI BANK,17-Oct-2023 04:20 PM,23-Oct-2023 11:00 AM,17-Oct-2023 04:20 PM,23-Oct-2023 10:30 AM,NA ,NA ,17-Oct-2023 04:20 PM,23-Oct-2023 10:30 AM,20-Nov-2023 11:00 AM,Annual repair and maintenance of Parwanoo Kasauli Dharampur Subathu Solan road km 57/320 to 65/320,"P/L R/wall at RD 59/550 to 59/575, 62/850 to 62/856 and 62/920 to 62/926, hume pipe culvert at RD 64/930, GSB, WBM GradeII, Grade III and tarring in km 63/320 to 65/320",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,"5,000",Nil,Nil,No,"1,34,600",No,fixed,,Nil,Nil,PWD,No.9332-39 dt 11.10.2023,2023_PWD_80353_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_80353_1,No.9332-39 dt 11.10.2023,Annual repair and maintenance of Parwanoo Kasauli Dharampur Subathu Solan road km 57/320 to 65/320,Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Harnam Singh Thakur Superintendent Shri Satyapal Jhogta HDM,Ravi Bhatti,18-Nov-2023 03:04 PM,20-Nov-2023 11:00 AM,techsummary_119645.pdf (17.12 KB),Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Harnam Singh Thakur Superintendent PMGSY Shri Satyapal Jhogta HDM,Ravi Bhatti,20-Nov-2023 02:55 PM,finsummary_119645.pdf (17.12 KB),04-Jan-2024,"INR 6,863,083",60.0,Ravi Bhatti,01-Jan-2024 04:03 PM,sahni.pdf (358.00 KB),Award of Contract,1.0,379794.0,Rajesh Sahni,INR,"6,863,083",Finance,financial bid opening summary,Ravi Bhatti,20-Nov-2023 02:48 PM,finance_119645.pdf,BOQ Comparative Chart,1.0,380000.0,M/S BAJRANG ENGINEERING WORKS,22-Oct-2023 06:06 PM,Rejected-Finance,L2,20-Nov-2023,Technical,bid opening summary,Ravi Bhatti,26-Oct-2023 03:42 PM,technical_119645.pdf
,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,379794.0,Rajesh Sahni,21-Oct-2023 04:51 PM,Accepted-AOC,Award of Contract,01-Jan-2024,,,,,
,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
