Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
590.0,Nil,Nil,No,"1,700",No,fixed,,Nil,Nil,Sr. EXEN,220 KV ES Division HPSEBL Kunihar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,TENDER FEES AND EMD,HPSEBL||CE(ES) Hamirpur||SE(ES) Shimla||Sr. Xen (ES) 220 KV Kunihar,KESD-09,2023_HPSEB_81665_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Providing and Fixing 40 Nos. ,36 watt 600 X 600mm Led Panel light of Crompton / Havells make complete in all respect ...ESD HPSEBL Kunihar","Providing and Fixing 40 Nos. ,36 watt 600 X 600mm Led Panel light of Crompton / Havells make complete in all respect ...ESD HPSEBL Kunihar",Please refer Tender documents. ,NA ,"1,69,920",Electrical Works,LED Light ,Tender,180.0,60.0,220 KV ES Division HPSEBL Kunihar,173207.0,NA ,NA ,NA ,220 KV ES Division HPSEBL Kunihar,No ,No,21-Nov-2023 01:00 PM,30-Nov-2023 12:00 PM,21-Nov-2023 01:00 PM,29-Nov-2023 11:00 AM,NA ,NA ,21-Nov-2023 01:30 PM,29-Nov-2023 11:00 AM,04-Dec-2023 12:15 PM,Technical,Technical Evaluation,Sandeep Kumar,04-Dec-2023 12:07 PM,technical_121497.pdf,Finance,Tender was opened by the committee and sent to higher authority for approval,Sandeep Kumar,29-Jan-2024 11:13 AM,finance_121497.pdf,BOQ Comparative Chart,30-Jan-2024,"INR 119,960",45.0,Sandeep Kumar,29-Jan-2024 04:32 PM,AOC_KESD09.pdf (1288.00 KB),Tender Awarded To A.K. Enterprises bilaspur,1.0,385977.0,AS COMPUTER NET,27-Nov-2023 11:43 AM,Rejected-Finance,L2,29-Jan-2024,Sr.Exen,Internal,SDO SUPT GR II,Sandeep Kumar,04-Dec-2023 12:10 PM,04-Dec-2023 12:15 PM,techsummary_121497.pdf (417.51 KB),Sr.EXEN,Internal,SDO SUPTDNT GR II JOA ACCOUNTS JDM,Sandeep Kumar,29-Jan-2024 11:26 AM,finsummary_121497.pdf (1003.34 KB),HPSEBL||CE(ES) Hamirpur||SE(ES) Shimla||Sr. Xen (ES) 220 KV Kunihar,2023_HPSEB_81665_1,KESD-09,"Providing and Fixing 40 Nos. ,36 watt 600 X 600mm Led Panel light of Crompton / Havells make complete in all respect ...ESD HPSEBL Kunihar",1.0,386372.0,M/S A.K Enterprises,INR,"119,960"
,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Bidder profile (Annexure-I) filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,386372.0,M/S A.K Enterprises,28-Nov-2023 11:28 PM,Accepted-AOC,Lowest Bidder,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Declaration on no-near relative (Annexure-II) filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386134.0,SHIVA ELECTRICAL & HARDWARE,27-Nov-2023 06:10 PM,Rejected-Finance,L3,29-Jan-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Declaration on Black listing/non-black listing filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,385845.0,SURESH KUMAR,25-Nov-2023 06:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Dec-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Letter of authorization for attending tender opening (Annexure-IV) filled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Self-Attested copy of Firm/company registration document.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Self-Attested copy of PAN and GST No. of firm/company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,"Self-Attested copy of Experience certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Anuual Turn Over Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
