Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
500.0,Nil,Nil,No,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (Separately),PWD,PW-NCD-TA-NIQ-2023- 7453-82 dt.26-09-2023,2023_PWD_79446_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,27-Sep-2023 01:30 PM,08-Oct-2023 11:30 AM,27-Sep-2023 01:30 PM,08-Oct-2023 10:30 AM,NA ,NA ,27-Sep-2023 01:30 PM,08-Oct-2023 10:30 AM,13-Oct-2023 03:05 PM,AMP for the year 2023-24 on Galma Majhyali road Km. 0/00 to 9/00 (HP0810VR007531104),Providing and Laying Bituminous concrete in Km. 3/00 to 4/00.(PMGSY Incentive),Please refer Tender documents. ,NA ,"14,78,263",Civil Works,NA ,Tender,90.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"29,600",No,fixed,,Nil,Nil,EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Devi Ram Chauhan,13-Oct-2023 03:01 PM,13-Oct-2023 03:05 PM,techsummary_118429.pdf (385.57 KB),PWD,2023_PWD_79446_1,PW-NCD-TA-NIQ-2023- 7453-82 dt.26-09-2023,AMP for the year 2023-24 on Galma Majhyali road Km. 0/00 to 9/00 (HP0810VR007531104),31-Jan-2024,"INR 1,537,245.36",30.0,Devi Ram Chauhan,31-Jan-2024 11:38 AM,AOC.pdf (488.00 KB),Award,EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt.G-II, DAO",Devi Ram Chauhan,31-Jan-2024 11:36 AM,finsummary_118429.pdf (153.16 KB),1.0,376608.0,BIHARI LAL VERMA,07-Oct-2023 01:52 PM,Accepted-AOC,Being L1,03-Feb-2024,Technical,Technical Bid Summary,Devi Ram Chauhan,13-Oct-2023 02:59 PM,technical_118429.pdf,1.0,376608.0,BIHARI LAL VERMA,INR,"1,537,245.36",Finance,Finance Summary,Devi Ram Chauhan,31-Jan-2024 11:34 AM,finance_118429.pdf,BOQ Comparative Chart
,,,,,,,,.pdf,Earnest Money (Separately),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,376663.0,Nikhil Thakur,07-Oct-2023 03:30 PM,Rejected-Finance,Being L2,31-Jan-2024,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
