Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,Nil,Nil,No,"26,800",No,fixed,,Nil,Nil,17-Nov-2023 11:00 AM,23-Nov-2023 11:00 AM,17-Nov-2023 11:00 AM,22-Nov-2023 06:00 PM,NA ,NA ,17-Nov-2023 11:00 AM,22-Nov-2023 06:00 PM,15-Dec-2023 01:25 PM,PWD,PW-KD-E-Tender/2023-24-5049-53 dated 10-11-2023,2023_PWD_81477_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,ICICI BANK,"R/R Tehtoli Standli Bajohaghat Road in K.M. 0/00 to 7/300, C/o, R/Wall at R.D. 5/645 to 5/655, 6/155 to 6/166 and 6/570 to 6/585","R/R Tehtoli Standli Bajohaghat Road in K.M. 0/00 to 7/300, C/o, R/Wall at R.D. 5/645 to 5/655, 6/155 to 6/166 and 6/570 to 6/585",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Cont.",Akhil Chauhan,15-Dec-2023 01:21 PM,15-Dec-2023 01:25 PM,techsummary_121270.pdf (3311.85 KB),PWD,2023_PWD_81477_9,PW-KD-E-Tender/2023-24-5049-53 dated 10-11-2023,"R/R Tehtoli Standli Bajohaghat Road in K.M. 0/00 to 7/300, C/o, R/Wall at R.D. 5/645 to 5/655, 6/155 to 6/166 and 6/570 to 6/585",17-Jan-2024,"INR 1,335,625",45.0,Vinod Shyam,17-Jan-2024 02:12 PM,1.pdf (676.00 KB),Executive Engineer,Internal,"xen, ae, supdt. HDM and Cont.",Akhil Chauhan,20-Dec-2023 03:35 PM,finsummary_121270.pdf (188.61 KB),1.0,384809.0,MAHENDER SHARMA,20-Nov-2023 04:38 PM,Rejected-Finance,L2 BIDDER,20-Dec-2023,Technical,summary uploaded,Akhil Chauhan,15-Dec-2023 01:20 PM,technical_121270.pdf,Finance,summary uploaded,Akhil Chauhan,20-Dec-2023 03:32 PM,finance_121270.pdf,BOQ Comparative Chart,1.0,384804.0,SOM RAJ,INR,"1,386,919"
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,384804.0,SOM RAJ,20-Nov-2023 04:22 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,30-Jan-2024,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
